layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,65.846,1.0000,nan,0.00663,0.8288
0,0,0.20,56.012,1.0000,nan,0.02058,0.8288
0,0,0.30,51.130,0.9999,nan,0.03610,0.8288
0,0,0.40,46.018,0.9996,nan,0.06502,0.8168
0,0,0.50,40.468,0.9984,nan,0.12318,0.8031
0,1,0.10,65.470,1.0000,nan,0.00693,0.6520
0,1,0.20,56.480,1.0000,nan,0.01950,0.5760
0,1,0.30,51.528,0.9999,nan,0.03448,0.5183
0,1,0.40,46.066,0.9998,nan,0.06466,0.4286
0,1,0.50,41.715,0.9995,nan,0.10671,0.4225
0,2,0.10,66.239,1.0000,nan,0.00634,0.8590
0,2,0.20,59.415,1.0000,nan,0.01391,0.8288
0,2,0.30,53.060,0.9999,nan,0.02890,0.8288
0,2,0.40,49.000,0.9998,nan,0.04613,0.8654
0,2,0.50,44.685,0.9994,nan,0.07580,0.7518
0,3,0.10,71.219,1.0000,nan,0.00357,0.8168
0,3,0.20,62.817,1.0000,nan,0.00940,0.7729
0,3,0.30,55.766,1.0000,nan,0.02117,0.6850
0,3,0.40,51.282,0.9999,nan,0.03547,0.6639
0,3,0.50,46.179,0.9998,nan,0.06383,0.5879
0,4,0.10,62.801,1.0000,nan,0.00942,0.8608
0,4,0.20,54.534,1.0000,nan,0.02439,0.8352
0,4,0.30,49.772,0.9999,nan,0.04220,0.7848
0,4,0.40,44.762,0.9996,nan,0.07514,0.7518
0,4,0.50,40.474,0.9990,nan,0.12309,0.7079
0,5,0.10,65.379,1.0000,nan,0.00700,0.6639
0,5,0.20,55.119,1.0000,nan,0.02280,0.6227
0,5,0.30,48.236,0.9999,nan,0.05037,0.6090
0,5,0.40,43.263,0.9996,nan,0.08929,0.5998
0,5,0.50,38.732,0.9988,nan,0.15043,0.5788
0,6,0.10,70.955,1.0000,nan,0.00368,0.8608
0,6,0.20,59.723,1.0000,nan,0.01342,0.8288
0,6,0.30,54.380,0.9999,nan,0.02483,0.8288
0,6,0.40,47.964,0.9997,nan,0.05197,0.8031
0,6,0.50,42.837,0.9991,nan,0.09377,0.8214
0,7,0.10,69.392,1.0000,nan,0.00441,0.8791
0,7,0.20,58.386,1.0000,nan,0.01566,0.8288
0,7,0.30,52.703,0.9999,nan,0.03011,0.8608
0,7,0.40,49.283,0.9998,nan,0.04465,0.8031
0,7,0.50,44.423,0.9993,nan,0.07812,0.8288
0,8,0.10,68.723,1.0000,nan,0.00476,0.8425
0,8,0.20,58.845,1.0000,nan,0.01485,0.8974
0,8,0.30,51.643,0.9999,nan,0.03403,0.8150
0,8,0.40,47.194,0.9996,nan,0.05679,0.8288
0,8,0.50,41.743,0.9986,nan,0.10636,0.7894
0,9,0.10,73.833,1.0000,nan,0.00264,0.8864
0,9,0.20,63.781,1.0000,nan,0.00841,0.8150
0,9,0.30,58.260,1.0000,nan,0.01588,0.8288
0,9,0.40,54.542,0.9999,nan,0.02437,0.7894
0,9,0.50,51.109,0.9998,nan,0.03618,0.7775
0,10,0.10,73.616,1.0000,nan,0.00271,0.8791
0,10,0.20,63.222,1.0000,nan,0.00897,0.8425
0,10,0.30,57.280,1.0000,nan,0.01778,0.8168
0,10,0.40,53.058,0.9999,nan,0.02891,0.7894
0,10,0.50,48.911,0.9997,nan,0.04660,0.7924
0,11,0.10,72.974,1.0000,nan,0.00292,0.8544
0,11,0.20,62.698,1.0000,nan,0.00953,0.8288
0,11,0.30,56.046,0.9999,nan,0.02050,0.7637
0,11,0.40,50.891,0.9998,nan,0.03710,0.7775
0,11,0.50,46.327,0.9995,nan,0.06275,0.7399
1,0,0.10,67.130,1.0000,nan,0.00572,0.8407
1,0,0.20,58.583,1.0000,nan,0.01530,0.8288
1,0,0.30,51.150,0.9999,nan,0.03601,0.8288
1,0,0.40,45.888,0.9995,nan,0.06600,0.8288
1,0,0.50,43.355,0.9992,nan,0.08835,0.8471
1,1,0.10,69.684,1.0000,nan,0.00426,0.8727
1,1,0.20,61.481,1.0000,nan,0.01096,0.8608
1,1,0.30,53.884,0.9999,nan,0.02629,0.8150
1,1,0.40,48.117,0.9998,nan,0.05106,0.8150
1,1,0.50,43.406,0.9993,nan,0.08783,0.8031
1,2,0.10,76.019,1.0000,nan,0.00206,0.8791
1,2,0.20,66.878,1.0000,nan,0.00589,0.8288
1,2,0.30,59.477,1.0000,nan,0.01381,0.8288
1,2,0.40,54.200,0.9999,nan,0.02535,0.8150
1,2,0.50,49.167,0.9998,nan,0.04525,0.8141
1,3,0.10,81.409,1.0000,nan,0.00111,0.8608
1,3,0.20,68.738,1.0000,nan,0.00475,0.8425
1,3,0.30,61.629,1.0000,nan,0.01078,0.8095
1,3,0.40,55.578,1.0000,nan,0.02163,0.8352
1,3,0.50,51.102,0.9999,nan,0.03621,0.7775
1,4,0.10,79.420,1.0000,nan,0.00139,0.9048
1,4,0.20,67.673,1.0000,nan,0.00537,0.8608
1,4,0.30,61.966,1.0000,nan,0.01037,0.7912
1,4,0.40,55.678,1.0000,nan,0.02138,0.7518
1,4,0.50,51.391,0.9999,nan,0.03503,0.7775
1,5,0.10,67.876,1.0000,nan,0.00525,0.8608
1,5,0.20,57.246,1.0000,nan,0.01785,0.8288
1,5,0.30,51.601,0.9999,nan,0.03419,0.8077
1,5,0.40,46.892,0.9997,nan,0.05879,0.7821
1,5,0.50,42.369,0.9991,nan,0.09897,0.7656
1,6,0.10,74.066,1.0000,nan,0.00257,0.8288
1,6,0.20,63.675,1.0000,nan,0.00852,0.8168
1,6,0.30,56.188,1.0000,nan,0.02016,0.8031
1,6,0.40,50.098,0.9998,nan,0.04065,0.7958
1,6,0.50,44.277,0.9994,nan,0.07945,0.7912
1,7,0.10,79.727,1.0000,nan,0.00134,0.8288
1,7,0.20,68.256,1.0000,nan,0.00503,0.8544
1,7,0.30,60.842,1.0000,nan,0.01180,0.8168
1,7,0.40,54.024,0.9999,nan,0.02587,0.8214
1,7,0.50,49.590,0.9998,nan,0.04310,0.8168
1,8,0.10,79.092,1.0000,nan,0.00144,0.8150
