layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,9.50893,5.87140,3.63753,3.1222,6.6492,0.0000,0.6927,0.02969,0.3727
1,12,7.35212,5.10041,2.25171,2.7137,6.4722,0.0000,0.7241,0.02040,0.0000
2,12,7.54179,5.31350,2.22829,2.4781,6.5006,0.0000,0.7188,0.02351,0.0000
3,12,9.13112,6.32714,2.80398,2.4256,6.4344,0.0000,0.7253,0.02638,0.0000
4,12,10.55872,6.85136,3.70736,2.1756,6.3252,0.0000,0.7440,0.02299,0.2764
5,12,11.08477,7.63247,3.45230,2.3759,6.0638,0.0000,0.7837,0.01430,0.0000
6,12,10.72695,7.38881,3.33814,2.2530,6.0803,0.0000,0.7824,0.01444,0.0000
7,12,11.99004,8.16668,3.82335,2.1716,5.9619,0.0000,0.7976,0.01182,0.0000
8,12,10.37093,7.15070,3.22023,2.2613,6.1608,0.0000,0.7722,0.01568,0.0000
9,12,12.32741,8.21010,4.11732,2.0125,5.9336,0.0000,0.8015,0.01222,0.0000
10,12,12.79570,8.69393,4.10177,2.1266,5.8593,0.0000,0.8104,0.01008,0.0000
11,12,11.36194,7.84690,3.51504,2.5510,6.0450,0.0000,0.7837,0.01413,0.0000
