layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,72.653,1.0000,nan,0.00303,0.8544
0,0,0.20,59.219,1.0000,nan,0.01422,0.8288
0,0,0.30,52.473,0.9999,nan,0.03092,0.8168
0,0,0.40,46.933,0.9996,nan,0.05852,0.8031
0,0,0.50,43.274,0.9992,nan,0.08918,0.8107
0,1,0.10,72.533,1.0000,nan,0.00307,0.7399
0,1,0.20,59.772,1.0000,nan,0.01335,0.5549
0,1,0.30,49.538,0.9999,nan,0.04336,0.4560
0,1,0.40,43.878,0.9997,nan,0.08319,0.3690
0,1,0.50,37.981,0.9988,nan,0.16402,0.4286
0,2,0.10,72.983,1.0000,nan,0.00292,0.8043
0,2,0.20,63.652,1.0000,nan,0.00854,0.8727
0,2,0.30,56.980,1.0000,nan,0.01840,0.8288
0,2,0.40,50.300,0.9998,nan,0.03971,0.8031
0,2,0.50,45.697,0.9995,nan,0.06747,0.7381
0,3,0.10,72.556,1.0000,nan,0.00306,0.7701
0,3,0.20,60.346,1.0000,nan,0.01249,0.7445
0,3,0.30,51.796,0.9999,nan,0.03343,0.7106
0,3,0.40,46.366,0.9998,nan,0.06247,0.6245
0,3,0.50,40.776,0.9992,nan,0.11888,0.6154
0,4,0.10,66.344,1.0000,nan,0.00626,0.8471
0,4,0.20,56.632,1.0000,nan,0.01916,0.8107
0,4,0.30,50.082,0.9999,nan,0.04073,0.8168
0,4,0.40,44.440,0.9996,nan,0.07798,0.7656
0,4,0.50,39.261,0.9987,nan,0.14154,0.6383
0,5,0.10,68.369,1.0000,nan,0.00496,0.7079
0,5,0.20,55.118,1.0000,nan,0.02281,0.6502
0,5,0.30,46.954,0.9998,nan,0.05837,0.5998
0,5,0.40,41.186,0.9993,nan,0.11341,0.5495
0,5,0.50,36.402,0.9979,nan,0.19671,0.5833
0,6,0.10,71.184,1.0000,nan,0.00359,0.8471
0,6,0.20,61.432,1.0000,nan,0.01102,0.8654
0,6,0.30,53.818,0.9999,nan,0.02649,0.8333
0,6,0.40,48.305,0.9997,nan,0.04997,0.7894
0,6,0.50,44.409,0.9994,nan,0.07825,0.7531
