layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,9.50893,5.09381,4.41512,1.8899,6.7662,0.0000,0.6747,0.03361,0.4714
1,12,7.35212,4.33372,3.01840,1.5801,6.5442,0.0000,0.7151,0.02165,0.2764
2,12,7.54179,4.49481,3.04697,1.5606,6.5337,0.0000,0.7160,0.02129,0.0000
3,12,9.13112,5.12785,4.00328,1.3955,6.4460,0.0000,0.7282,0.02032,0.3727
4,12,10.55872,5.49066,5.06807,1.1792,6.3510,0.0000,0.7447,0.01993,0.3727
5,12,11.08477,5.83310,5.25167,1.2115,6.0124,0.0000,0.7936,0.01210,0.4930
6,12,10.72694,5.65532,5.07162,1.1530,6.0532,0.0000,0.7889,0.01163,0.3727
7,12,11.99003,6.13073,5.85930,1.0814,5.9184,0.0000,0.8039,0.01124,0.5000
8,12,10.37093,5.52982,4.84111,1.1735,6.1648,0.0000,0.7759,0.01265,0.3727
9,12,12.32741,6.18026,6.14715,1.0272,5.9014,0.0000,0.8065,0.00980,0.4714
10,12,12.79570,6.50402,6.29167,1.0443,5.7868,0.0000,0.8229,0.00741,0.5000
11,12,11.36194,6.04250,5.31943,1.3385,5.9982,0.0000,0.7931,0.01269,0.3727
