layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,6,5,0,7
0,1,7,4,5,4
0,2,2,5,7,7
0,3,7,4,5,4
0,4,7,2,5,2
0,5,7,4,5,4
0,6,6,5,0,7
0,7,2,1,7,7
0,8,2,1,1,7
0,9,2,6,7,7
0,10,2,6,7,7
0,11,2,6,7,7
1,0,6,1,1,7
1,1,6,5,0,7
1,2,6,5,0,7
1,3,2,6,7,1
1,4,6,5,1,7
1,5,6,5,0,7
1,6,2,5,7,7
1,7,6,5,0,7
1,8,2,1,1,7
1,9,4,1,1,7
1,10,4,1,1,5
1,11,7,2,5,4
2,0,6,5,0,7
2,1,5,0,5,1
2,2,6,5,0,2
2,3,6,5,0,7
2,4,6,5,0,2
2,5,6,5,0,2
2,6,0,2,6,2
2,7,2,1,7,7
2,8,6,5,0,3
2,9,6,5,1,0
2,10,6,5,0,7
2,11,5,0,5,1
3,0,5,0,3,1
3,1,6,5,7,7
3,2,0,2,0,2
3,3,0,2,6,2
3,4,1,3,2,1
3,5,4,5,1,7
3,6,2,1,7,2
3,7,6,1,1,0
3,8,0,2,0,2
3,9,6,5,7,6
3,10,0,2,0,1
3,11,6,1,1,2
4,0,0,2,6,3
4,1,6,5,0,6
4,2,5,0,4,1
4,3,0,2,6,3
4,4,5,0,4,3
4,5,4,1,1,6
4,6,6,5,1,3
4,7,0,2,0,3
4,8,5,0,5,1
4,9,6,5,1,3
4,10,5,0,5,1
4,11,3,4,5,0
5,0,1,3,3,1
5,1,1,3,2,1
5,2,4,1,1,6
5,3,4,1,1,6
5,4,0,2,0,3
5,5,1,3,3,1
5,6,5,0,5,3
5,7,5,0,5,1
5,8,5,0,4,3
5,9,1,3,3,1
5,10,0,2,0,3
5,11,0,2,0,3
6,0,6,5,1,1
6,1,5,0,4,1
6,2,5,0,4,1
6,3,0,0,6,3
6,4,0,2,0,2
6,5,5,0,5,1
6,6,5,0,4,1
6,7,0,2,6,0
6,8,0,2,0,1
6,9,1,3,3,1
6,10,1,3,2,1
6,11,4,1,1,6
7,0,0,2,6,1
7,1,1,3,3,1
7,2,1,7,2,1
7,3,0,2,0,3
7,4,0,2,5,3
7,5,0,2,6,3
7,6,5,0,4,1
7,7,1,3,3,1
7,8,0,2,6,1
7,9,4,5,1,6
7,10,1,3,2,1
7,11,1,7,2,1
8,0,5,0,5,1
8,1,1,3,3,1
8,2,0,5,0,0
8,3,5,0,4,1
8,4,4,5,1,6
8,5,6,5,0,1
8,6,5,0,5,1
8,7,0,2,0,1
8,8,0,2,6,0
8,9,0,2,0,1
8,10,6,5,1,3
8,11,5,0,4,1
9,0,5,0,5,1
9,1,1,3,3,1
9,2,5,0,5,1
9,3,6,5,0,1
9,4,1,3,3,1
9,5,5,0,5,1
9,6,1,3,3,1
9,7,5,0,5,1
9,8,0,2,0,0
9,9,1,3,2,1
9,10,0,2,0,1
9,11,1,7,2,1
10,0,5,0,5,1
10,1,1,7,2,1
10,2,1,7,2,1
10,3,5,0,4,1
10,4,5,0,4,1
10,5,0,2,0,3
10,6,1,3,3,1
10,7,5,0,5,3
10,8,1,3,3,1
10,9,0,2,6,3
10,10,1,3,2,1
10,11,5,0,5,1
11,0,2,6,7,7
11,1,5,0,5,1
11,2,1,3,3,1
11,3,4,0,1,1
11,4,5,0,4,1
11,5,1,3,3,1
11,6,1,3,3,1
11,7,1,3,4,1
11,8,4,1,1,5
11,9,1,7,2,1
11,10,4,5,1,1
11,11,6,5,1,1
