layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,9.50892,7.26887,2.24005,3.0349,6.1435,1.7494,0.7804,0.00000,1.4907
1,12,7.35212,5.61078,1.74134,3.2848,5.9066,1.7676,0.8086,0.00000,0.0000
2,12,7.54179,5.95678,1.58501,3.7448,5.9768,1.7583,0.8019,0.00000,0.0000
3,12,9.13112,7.23417,1.89695,3.8057,5.8667,1.7285,0.8106,0.00000,0.0000
4,12,10.55872,8.49688,2.06184,4.0777,5.7115,1.6679,0.8284,0.00000,0.0000
5,12,11.08477,8.87431,2.21046,4.0532,5.3338,1.6881,0.8593,0.00000,0.0000
6,12,10.72694,8.58498,2.14196,4.0176,5.3946,1.6869,0.8558,0.00000,0.0000
7,12,11.99003,9.68384,2.30619,4.2011,5.1757,1.6669,0.8698,0.00000,0.0000
8,12,10.37093,8.27041,2.10052,3.9402,5.5379,1.6946,0.8459,0.00000,0.0000
9,12,12.32741,9.90320,2.42421,4.0690,5.1425,1.6536,0.8736,0.00000,0.0000
10,12,12.79570,10.26730,2.52840,4.0617,5.0076,1.6676,0.8834,0.00000,0.0000
11,12,11.36194,8.92959,2.43235,3.6157,5.2606,1.7090,0.8601,0.00000,1.1055
