layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
9,2,0.9539,5.2332,11.92722,0.8824,10.6667,20
10,0,0.9539,5.1624,11.80321,0.8845,12.1905,19
5,1,0.9487,4.0728,15.91404,0.9361,16.0000,9
6,9,0.9487,4.1855,15.66521,0.9324,16.0000,14
7,6,0.9439,5.0660,12.22106,0.8838,16.0000,15
3,3,0.9424,5.8203,10.31431,0.8302,4.6545,19
6,8,0.9424,5.8187,9.80501,0.8266,4.6545,27
2,7,0.9382,6.1397,5.09828,0.7807,3.7101,10
2,10,0.9382,6.0382,5.80521,0.7898,3.8788,14
11,1,0.9369,5.2420,11.79942,0.8732,11.6364,19
11,4,0.9369,5.0265,10.97646,0.8903,16.0000,13
5,6,0.9294,5.4381,11.85246,0.8632,7.5294,13
6,6,0.9294,5.2567,11.10849,0.8733,11.1304,22
3,1,0.9280,5.9434,7.48588,0.8156,4.6545,23
5,3,0.9280,5.9386,7.07992,0.8104,4.4912,20
5,7,0.9279,5.4790,10.99816,0.8595,7.3143,14
0,9,0.9270,5.7403,5.23655,0.8244,5.4468,4
1,8,0.9270,5.7271,6.25016,0.8300,5.5652,6
10,2,0.9265,4.4292,14.69870,0.9206,16.0000,18
10,10,0.9265,4.3435,15.02861,0.9249,16.0000,19
2,4,0.9233,6.1326,7.02554,0.7920,4.1290,27
7,5,0.9205,5.8167,8.64996,0.8225,5.0196,29
3,10,0.9196,5.6721,9.39651,0.8371,5.9535,24
7,10,0.9175,4.1710,15.71297,0.9325,16.0000,13
8,1,0.9175,4.2993,15.39637,0.9277,16.0000,17
5,11,0.9169,5.8840,8.26522,0.8143,4.8302,31
8,9,0.9169,5.6744,9.52442,0.8335,5.5652,24
7,0,0.9167,5.8119,10.84021,0.8295,4.7407,11
8,10,0.9149,5.7377,8.61699,0.8322,5.2245,24
9,6,0.9139,4.3062,15.37417,0.9262,16.0000,17
9,9,0.9139,4.1991,15.61382,0.9311,16.0000,14
