layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,9.50893,5.74825,3.76068,2.8420,6.6784,0.0000,0.6876,0.02821,0.3727
1,12,7.35212,4.99865,2.35348,2.5087,6.4645,0.0000,0.7258,0.01950,0.0000
2,12,7.54179,5.21157,2.33021,2.3199,6.4832,0.0000,0.7225,0.02180,0.0000
3,12,9.13112,6.21353,2.91760,2.2764,6.4120,0.0000,0.7299,0.02466,0.0000
4,12,10.55872,6.71669,3.84203,2.0457,6.2891,0.0000,0.7501,0.02267,0.2764
5,12,11.08477,7.48238,3.60239,2.2275,5.9968,0.0000,0.7941,0.01257,0.0000
6,12,10.72695,7.24646,3.48049,2.1186,6.0193,0.0000,0.7920,0.01312,0.0000
7,12,11.99004,8.00483,3.98521,2.0419,5.8879,0.0000,0.8078,0.01091,0.0000
8,12,10.37093,7.01949,3.35143,2.1311,6.0874,0.0000,0.7849,0.01305,0.0000
9,12,12.32741,8.06208,4.26533,1.9061,5.8291,0.0000,0.8166,0.00947,0.0000
10,12,12.79570,8.52318,4.27252,2.0013,5.7619,0.0000,0.8245,0.00893,0.0000
11,12,11.36194,7.70070,3.66124,2.3814,5.9858,0.0000,0.7923,0.01471,0.0000
