layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,75.796,1.0000,nan,0.00178,0.8139
0,0,0.20,63.068,1.0000,nan,0.00773,0.8442
0,0,0.30,53.935,0.9999,nan,0.02211,0.8066
0,0,0.40,49.344,0.9998,nan,0.03751,0.7673
0,0,0.50,43.673,0.9994,nan,0.07207,0.7370
0,1,0.10,73.877,1.0000,nan,0.00223,0.6158
0,1,0.20,63.333,1.0000,nan,0.00749,0.5346
0,1,0.30,57.091,1.0000,nan,0.01538,0.4665
0,1,0.40,52.021,1.0000,nan,0.02757,0.4286
0,1,0.50,49.082,0.9999,nan,0.03866,0.4535
0,2,0.10,70.981,1.0000,nan,0.00311,0.8355
0,2,0.20,60.962,1.0000,nan,0.00985,0.8409
0,2,0.30,53.283,0.9999,nan,0.02384,0.7976
0,2,0.40,47.787,0.9998,nan,0.04488,0.8030
0,2,0.50,42.898,0.9992,nan,0.07880,0.7673
0,3,0.10,65.191,1.0000,nan,0.00605,0.6926
0,3,0.20,58.238,1.0000,nan,0.01347,0.6494
0,3,0.30,50.607,0.9999,nan,0.03244,0.6346
0,3,0.40,45.731,0.9998,nan,0.05687,0.5952
0,3,0.50,41.040,0.9994,nan,0.09759,0.5509
0,4,0.10,60.237,1.0000,nan,0.01070,0.8788
0,4,0.20,52.412,0.9999,nan,0.02635,0.8052
0,4,0.30,45.623,0.9997,nan,0.05758,0.7511
0,4,0.40,41.371,0.9992,nan,0.09393,0.7067
0,4,0.50,38.430,0.9984,nan,0.13179,0.7208
0,5,0.10,65.150,1.0000,nan,0.00608,0.6634
0,5,0.20,54.800,1.0000,nan,0.02002,0.6851
0,5,0.30,48.562,0.9999,nan,0.04105,0.6634
0,5,0.40,44.883,0.9998,nan,0.06270,0.5952
0,5,0.50,40.374,0.9993,nan,0.10537,0.5271
0,6,0.10,73.938,1.0000,nan,0.00221,0.8139
0,6,0.20,61.714,1.0000,nan,0.00903,0.8409
0,6,0.30,54.255,0.9999,nan,0.02131,0.8030
0,6,0.40,48.769,0.9998,nan,0.04008,0.8030
0,6,0.50,43.432,0.9993,nan,0.07410,0.7385
0,7,0.10,62.356,1.0000,nan,0.00839,0.8139
0,7,0.20,52.471,0.9999,nan,0.02617,0.8052
0,7,0.30,46.163,0.9997,nan,0.05411,0.7976
0,7,0.40,40.538,0.9988,nan,0.10340,0.7208
0,7,0.50,38.165,0.9979,nan,0.13588,0.7890
0,8,0.10,70.137,1.0000,nan,0.00342,0.8571
0,8,0.20,57.998,1.0000,nan,0.01385,0.8355
0,8,0.30,50.791,0.9999,nan,0.03176,0.7511
0,8,0.40,43.918,0.9994,nan,0.07006,0.7511
0,8,0.50,38.477,0.9979,nan,0.13109,0.7208
0,9,0.10,66.443,1.0000,nan,0.00524,0.8658
0,9,0.20,58.350,1.0000,nan,0.01330,0.8355
