layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.91361,5.18679,1.72682,3.00367,6.19949,1.86158,0.75743,4,0.00000,3.32468,11,121,16
0,1,25.23981,21.43478,3.80504,5.63327,5.82412,1.41401,0.82313,4,0.00000,4.49123,11,121,16
0,2,6.50760,4.85275,1.65485,2.93245,6.46124,1.89219,0.70593,4,0.00000,2.58586,11,121,16
0,3,20.19070,16.96080,3.22990,5.25118,6.12447,1.47220,0.79226,4,0.00000,4.12903,11,121,16
0,4,11.08063,9.22940,1.85123,4.98555,6.56243,1.56845,0.71755,4,0.00000,2.78261,11,121,16
0,5,22.40985,19.16773,3.24212,5.91209,6.26905,1.35685,0.77099,4,0.00000,3.76471,11,121,16
0,6,6.73922,5.31266,1.42656,3.72410,6.50273,1.76396,0.71293,4,0.00000,2.63918,11,121,16
0,7,8.85142,6.99405,1.85737,3.76556,6.45746,1.77954,0.73360,4,0.00000,3.08434,11,121,16
0,8,6.28538,4.64326,1.64211,2.82762,6.55755,1.83998,0.70582,4,0.00000,2.58586,11,121,16
0,9,6.11749,4.22404,1.89344,2.23088,6.08917,1.97291,0.77602,0,0.00000,3.82090,11,121,16
0,10,6.27448,4.57117,1.70331,2.68370,6.45167,1.90505,0.72785,0,0.00000,2.94253,11,121,16
0,11,5.81674,4.10488,1.71186,2.39790,6.28236,1.96263,0.75004,0,0.00000,3.20000,11,121,16
1,0,9.00779,7.34592,1.66187,4.42026,6.53856,1.72432,0.71907,4,0.00000,2.81319,11,121,16
1,1,7.03901,5.64871,1.39030,4.06295,6.31247,1.77534,0.74112,4,0.00000,2.90909,11,121,16
1,2,7.02256,5.84636,1.17620,4.97056,6.23681,1.67380,0.75690,4,0.00000,3.28205,11,121,16
1,3,6.86944,4.84264,2.02680,2.38930,5.87916,1.90841,0.82138,4,0.00000,4.65455,11,121,16
1,4,7.54630,5.98426,1.56203,3.83107,5.78371,1.75752,0.81713,4,0.00000,4.49123,11,121,16
1,5,8.85427,7.40223,1.45204,5.09780,6.42611,1.63102,0.74149,4,0.00000,3.08434,11,121,16
1,6,8.04670,6.39075,1.65594,3.85928,6.05184,1.75770,0.78344,4,0.00000,3.87879,11,121,16
1,7,7.40988,5.90044,1.50945,3.90901,5.85894,1.75371,0.80751,4,0.00000,5.12000,11,121,16
1,8,7.45767,5.84463,1.61304,3.62336,5.90211,1.79458,0.80125,4,0.00000,4.19672,11,121,16
1,9,8.76293,6.90968,1.85325,3.72840,5.69853,1.76418,0.82744,4,0.00000,5.81818,11,121,16
1,10,9.81049,7.16409,2.64640,2.70711,6.23473,1.75361,0.76889,4,0.00000,3.28205,11,121,16
1,11,16.03124,13.54841,2.48283,5.45684,6.30135,1.47053,0.76855,4,0.00000,3.71014,11,121,16
2,0,8.22412,6.47767,1.74645,3.70905,6.42813,1.80681,0.73877,4,0.00000,3.08434,11,121,16
2,1,10.95388,8.78527,2.16861,4.05112,5.30488,1.69418,0.86422,4,0.00000,12.19048,11,121,16
2,2,12.12217,10.08986,2.03230,4.96474,6.48443,1.63301,0.73370,4,0.00000,3.01176,11,121,16
2,3,8.21520,6.85832,1.35688,5.05448,6.43397,1.68917,0.73771,4,0.00000,2.94253,11,121,16
2,4,8.70125,7.32146,1.37979,5.30621,6.58127,1.64560,0.70874,4,0.00000,2.66667,11,121,16
2,5,8.02006,6.27627,1.74379,3.59920,6.52510,1.83111,0.71289,4,0.00000,2.69474,11,121,16
2,6,10.34319,8.52265,1.82054,4.68139,5.67266,1.64583,0.83471,4,0.00000,6.09524,11,121,16
2,7,6.50880,5.10435,1.40445,3.63441,6.44515,1.80427,0.73067,4,0.00000,2.94253,11,121,16
2,8,8.76886,6.81198,1.95688,3.48103,6.56051,1.82040,0.71033,4,0.00000,2.66667,11,121,16
2,9,8.55749,6.96937,1.58811,4.38846,6.46725,1.70186,0.72960,4,0.00000,2.90909,11,121,16
2,10,6.62261,5.24014,1.38247,3.79043,6.22966,1.79340,0.75827,4,0.00000,3.28205,11,121,16
2,11,9.81361,7.97950,1.83411,4.35061,5.48351,1.67425,0.84750,4,0.00000,7.75758,11,121,16
3,0,14.33594,11.72967,2.60627,4.50055,5.02617,1.63003,0.88942,4,0.00000,16.00000,11,121,16
3,1,8.77573,6.50304,2.27268,2.86139,5.92752,1.85590,0.79992,4,0.00000,4.33898,11,121,16
3,2,12.82289,11.07386,1.74902,6.33146,6.50550,1.55753,0.73220,4,0.00000,2.90909,11,121,16
3,3,11.18464,9.65315,1.53150,6.30309,6.37690,1.50180,0.75601,4,0.00000,3.28205,11,121,16
3,4,14.47126,11.71578,2.75547,4.25182,4.63596,1.65205,0.90873,4,0.00000,16.00000,11,121,16
3,5,8.63784,6.06522,2.57262,2.35760,5.72147,1.88897,0.82849,4,0.00000,5.95349,11,121,16
3,6,8.47451,6.75200,1.72251,3.91986,6.49856,1.79596,0.72429,4,0.00000,2.87640,11,121,16
3,7,8.72534,7.38963,1.33572,5.53233,6.34986,1.62383,0.75718,4,0.00000,3.41333,11,121,16
3,8,10.32881,8.70331,1.62550,5.35423,6.55131,1.62774,0.72013,4,0.00000,2.78261,11,121,16
3,9,13.54646,11.36554,2.18092,5.21135,6.64931,1.56065,0.69733,4,0.00000,2.66667,11,121,16
3,10,10.11630,8.49809,1.61821,5.25154,5.70098,1.60077,0.83416,4,0.00000,5.44681,11,121,16
3,11,8.73636,6.98155,1.75481,3.97852,6.65911,1.72562,0.68537,4,0.00000,2.43810,11,121,16
4,0,14.18456,12.50629,1.67827,7.45189,6.35852,1.44472,0.76061,4,0.00000,3.41333,11,121,16
4,1,9.61371,7.51011,2.10359,3.57013,6.12451,1.76963,0.78963,4,0.00000,3.87879,11,121,16
4,2,11.91178,9.27597,2.63581,3.51921,5.04015,1.73371,0.88202,4,0.00000,16.00000,11,121,16
4,3,8.00938,6.67821,1.33116,5.01683,6.31221,1.64951,0.75697,4,0.00000,3.24051,11,121,16
4,4,11.11960,8.96832,2.15128,4.16882,5.63057,1.67494,0.83311,4,0.00000,6.56410,11,121,16
4,5,9.39753,7.90145,1.49608,5.28144,6.04289,1.62327,0.79184,4,0.00000,3.87879,11,121,16
4,6,7.66510,6.06040,1.60470,3.77665,6.08852,1.76091,0.77978,4,0.00000,3.71014,11,121,16
4,7,9.55208,8.01301,1.53907,5.20639,6.42409,1.58708,0.74154,4,0.00000,3.08434,11,121,16
4,8,12.58362,10.14331,2.44031,4.15657,5.07556,1.66993,0.88005,4,0.00000,16.00000,11,121,16
4,9,8.95791,6.35162,2.60629,2.43704,6.17763,1.86839,0.77625,4,0.00000,3.82090,11,121,16
