layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,11.03558,5.63224,5.40334,1.4332,6.7675,0.0000,0.6749,0.03307,0.4714
1,12,8.65486,4.37577,4.27908,1.0618,6.5825,0.0000,0.7095,0.02579,0.4930
2,12,8.90427,4.48153,4.42274,1.1013,6.6820,0.0000,0.6848,0.02896,0.4714
3,12,10.84634,4.92289,5.92345,0.9141,6.5604,0.0000,0.7040,0.03054,0.5000
4,12,11.70341,4.81603,6.88738,0.7809,6.4023,0.0000,0.7326,0.02689,0.2764
5,12,11.53291,4.55517,6.97773,0.7561,6.1341,0.0000,0.7765,0.01352,0.3727
6,12,10.78533,4.56379,6.22154,0.8511,6.0808,0.0000,0.7834,0.01230,0.3727
7,12,12.38671,4.86027,7.52644,0.6871,5.8284,0.0000,0.8208,0.00743,0.0000
8,12,11.09133,4.52573,6.56561,0.7500,6.0894,0.0000,0.7839,0.01328,0.2764
9,12,12.48977,4.81441,7.67536,0.6881,5.8459,0.0000,0.8138,0.00814,0.3727
10,12,12.65375,4.81496,7.83879,0.6347,5.8709,0.0000,0.8134,0.00870,0.0000
11,12,11.65608,4.98666,6.66942,0.9119,6.0243,0.0000,0.7880,0.01403,0.3727
