layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,74.788,1.0000,nan,0.00200,0.8788
0,0,0.20,62.791,1.0000,nan,0.00798,0.8355
0,0,0.30,54.285,0.9999,nan,0.02124,0.8030
0,0,0.40,48.065,0.9998,nan,0.04347,0.6905
0,0,0.50,43.564,0.9994,nan,0.07298,0.6905
0,1,0.10,67.525,1.0000,nan,0.00463,0.6937
0,1,0.20,57.417,1.0000,nan,0.01481,0.5260
0,1,0.30,52.581,1.0000,nan,0.02584,0.4881
0,1,0.40,49.038,0.9999,nan,0.03886,0.5422
0,1,0.50,46.204,0.9999,nan,0.05385,0.5509
0,2,0.10,72.301,1.0000,nan,0.00267,0.8571
0,2,0.20,58.945,1.0000,nan,0.01242,0.8658
0,2,0.30,55.031,1.0000,nan,0.01949,0.7727
0,2,0.40,49.533,0.9998,nan,0.03671,0.7673
0,2,0.50,45.135,0.9996,nan,0.06090,0.7511
0,3,0.10,64.131,1.0000,nan,0.00684,0.7662
0,3,0.20,54.081,1.0000,nan,0.02174,0.7013
0,3,0.30,48.302,0.9999,nan,0.04230,0.6418
0,3,0.40,43.769,0.9997,nan,0.07127,0.5790
0,3,0.50,41.413,0.9995,nan,0.09348,0.5574
0,4,0.10,65.450,1.0000,nan,0.00587,0.8193
0,4,0.20,56.857,1.0000,nan,0.01580,0.8193
0,4,0.30,49.336,0.9999,nan,0.03755,0.7976
0,4,0.40,42.586,0.9994,nan,0.08167,0.7154
0,4,0.50,39.619,0.9989,nan,0.11493,0.6602
0,5,0.10,62.614,1.0000,nan,0.00814,0.7067
0,5,0.20,52.859,1.0000,nan,0.02503,0.6385
0,5,0.30,46.297,0.9998,nan,0.05328,0.6494
0,5,0.40,41.013,0.9994,nan,0.09790,0.5433
0,5,0.50,37.109,0.9986,nan,0.15344,0.5563
0,6,0.10,73.603,1.0000,nan,0.00230,0.8355
0,6,0.20,61.905,1.0000,nan,0.00883,0.8496
0,6,0.30,53.610,0.9999,nan,0.02295,0.8139
0,6,0.40,47.071,0.9997,nan,0.04873,0.7976
0,6,0.50,41.501,0.9989,nan,0.09254,0.7511
0,7,0.10,64.277,1.0000,nan,0.00672,0.8139
0,7,0.20,54.997,1.0000,nan,0.01957,0.8355
0,7,0.30,48.498,0.9998,nan,0.04135,0.8193
0,7,0.40,44.609,0.9995,nan,0.06470,0.7890
0,7,0.50,41.741,0.9990,nan,0.09002,0.7067
0,8,0.10,66.848,1.0000,nan,0.00500,0.8355
0,8,0.20,57.769,1.0000,nan,0.01422,0.8874
0,8,0.30,50.801,0.9999,nan,0.03172,0.8442
0,8,0.40,46.644,0.9997,nan,0.05119,0.7976
0,8,0.50,39.944,0.9987,nan,0.11071,0.7673
0,9,0.10,74.018,1.0000,nan,0.00219,0.8139
0,9,0.20,65.780,1.0000,nan,0.00565,0.8571
0,9,0.30,59.348,1.0000,nan,0.01186,0.8571
0,9,0.40,53.993,0.9999,nan,0.02196,0.8355
0,9,0.50,48.748,0.9998,nan,0.04018,0.7814
0,10,0.10,71.660,1.0000,nan,0.00287,0.7890
0,10,0.20,63.506,1.0000,nan,0.00735,0.7890
0,10,0.30,56.689,1.0000,nan,0.01610,0.8193
0,10,0.40,51.477,0.9999,nan,0.02935,0.8193
0,10,0.50,48.141,0.9998,nan,0.04309,0.8193
0,11,0.10,72.281,1.0000,nan,0.00268,0.8355
0,11,0.20,61.609,1.0000,nan,0.00914,0.8139
0,11,0.30,55.985,1.0000,nan,0.01746,0.8030
0,11,0.40,51.602,0.9999,nan,0.02893,0.8030
0,11,0.50,47.114,0.9997,nan,0.04850,0.7727
1,0,0.10,65.197,1.0000,nan,0.00605,0.8139
1,0,0.20,52.042,0.9999,nan,0.02750,0.8030
1,0,0.30,45.780,0.9996,nan,0.05655,0.7976
1,0,0.40,41.530,0.9990,nan,0.09224,0.8030
1,0,0.50,37.066,0.9972,nan,0.15420,0.7511
1,1,0.10,69.262,1.0000,nan,0.00379,0.8355
1,1,0.20,59.518,1.0000,nan,0.01163,0.7890
1,1,0.30,53.339,0.9999,nan,0.02368,0.7370
1,1,0.40,47.163,0.9997,nan,0.04822,0.7284
1,1,0.50,43.527,0.9994,nan,0.07329,0.6764
1,2,0.10,68.435,1.0000,nan,0.00417,0.8355
1,2,0.20,61.002,1.0000,nan,0.00980,0.8571
1,2,0.30,55.265,1.0000,nan,0.01897,0.8193
1,2,0.40,50.267,0.9999,nan,0.03373,0.8409
1,2,0.50,45.672,0.9996,nan,0.05725,0.8139
1,3,0.10,76.154,1.0000,nan,0.00171,0.8355
1,3,0.20,65.336,1.0000,nan,0.00595,0.8355
1,3,0.30,59.277,1.0000,nan,0.01195,0.8409
1,3,0.40,54.272,0.9999,nan,0.02127,0.7727
1,3,0.50,50.227,0.9999,nan,0.03389,0.7424
1,4,0.10,77.200,1.0000,nan,0.00152,0.8571
1,4,0.20,67.727,1.0000,nan,0.00452,0.8355
1,4,0.30,58.845,1.0000,nan,0.01256,0.8355
1,4,0.40,53.005,0.9999,nan,0.02461,0.7208
1,4,0.50,49.480,0.9999,nan,0.03693,0.6602
1,5,0.10,71.321,1.0000,nan,0.00299,0.8355
1,5,0.20,59.860,1.0000,nan,0.01118,0.8355
1,5,0.30,53.548,0.9999,nan,0.02312,0.7814
1,5,0.40,50.691,0.9999,nan,0.03212,0.7814
1,5,0.50,44.671,0.9995,nan,0.06425,0.7208
1,6,0.10,66.617,1.0000,nan,0.00514,0.8355
1,6,0.20,55.659,1.0000,nan,0.01813,0.7814
1,6,0.30,51.855,0.9999,nan,0.02809,0.7976
1,6,0.40,47.731,0.9998,nan,0.04517,0.7976
1,6,0.50,42.053,0.9992,nan,0.08685,0.6461
1,7,0.10,72.845,1.0000,nan,0.00251,0.8355
1,7,0.20,61.527,1.0000,nan,0.00923,0.8571
1,7,0.30,55.440,1.0000,nan,0.01859,0.8355
1,7,0.40,52.683,0.9999,nan,0.02554,0.7814
1,7,0.50,48.696,0.9998,nan,0.04042,0.7976
1,8,0.10,74.737,1.0000,nan,0.00202,0.8139
1,8,0.20,63.406,1.0000,nan,0.00743,0.8052
1,8,0.30,60.131,1.0000,nan,0.01084,0.7890
1,8,0.40,53.924,1.0000,nan,0.02214,0.7370
1,8,0.50,48.804,0.9999,nan,0.03992,0.7208
1,9,0.10,74.448,1.0000,nan,0.00208,0.8355
1,9,0.20,68.296,1.0000,nan,0.00423,0.8658
1,9,0.30,61.129,1.0000,nan,0.00966,0.8193
1,9,0.40,53.122,1.0000,nan,0.02428,0.7511
1,9,0.50,48.443,0.9999,nan,0.04161,0.7976
1,10,0.10,71.389,1.0000,nan,0.00296,0.8571
1,10,0.20,61.702,1.0000,nan,0.00904,0.7835
1,10,0.30,53.987,0.9999,nan,0.02198,0.7673
1,10,0.40,49.852,0.9998,nan,0.03538,0.7511
