layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.76402,4.84596,1.91806,2.52649,6.53379,-0.00000,0.71344,0,0.01718,3.08434,11,121,16
0,1,24.94008,11.17704,13.76304,0.81211,6.60131,-0.00000,0.71875,1,0.03202,2.97674,11,121,16
0,2,6.56637,4.69280,1.87357,2.50473,6.63022,-0.00000,0.70031,0,0.01502,2.78261,11,121,16
0,3,21.31676,9.98843,11.32833,0.88172,6.75039,-0.00000,0.68828,1,0.03670,2.66667,11,121,16
0,4,12.74869,7.10517,5.64351,1.25900,6.92443,-0.00000,0.64588,0,0.04469,2.28571,11,121,16
0,5,19.94580,8.50803,11.43777,0.74385,6.93676,-0.00000,0.64203,1,0.05690,2.18803,11,121,16
0,6,7.52936,5.65934,1.87002,3.02635,6.80674,-0.00000,0.66070,0,0.02622,2.46154,11,121,16
0,7,7.13082,5.15756,1.97325,2.61374,6.80259,-0.00000,0.66163,0,0.02378,2.37037,11,121,16
0,8,7.90778,4.44881,3.45897,1.28616,7.08014,-0.00000,0.59280,0,0.02917,1.91045,11,121,16
0,9,6.37770,4.63011,1.74759,2.64943,6.49102,-0.00000,0.72571,0,0.01356,3.36842,11,121,16
0,10,6.23927,4.55967,1.67960,2.71474,6.77135,-0.00000,0.67465,0,0.02226,2.61224,11,121,16
0,11,5.88624,4.58623,1.30002,3.52782,6.70686,-0.00000,0.68536,0,0.02112,2.72340,11,121,16
1,0,7.73724,5.35598,2.38127,2.24922,6.84191,-0.00000,0.65361,0,0.02857,2.24561,11,121,16
1,1,7.12326,4.43192,2.69135,1.64673,6.66154,-0.00000,0.69390,0,0.01917,2.81319,11,121,16
1,2,6.76756,4.08083,2.68673,1.51888,6.60101,-0.00000,0.70763,0,0.01427,2.97674,11,121,16
1,3,6.66413,4.85493,1.80920,2.68347,6.45241,-0.00000,0.73882,0,0.01360,3.55556,11,121,16
1,4,7.30727,4.82185,2.48542,1.94006,6.29245,-0.00000,0.76201,0,0.01049,3.93846,11,121,16
1,5,6.78283,4.37206,2.41077,1.81356,6.79322,-0.00000,0.67260,0,0.02479,2.56000,11,121,16
1,6,7.64602,5.26921,2.37681,2.21693,6.71555,-0.00000,0.67876,0,0.02007,2.53465,11,121,16
1,7,6.83376,4.88346,1.95030,2.50396,6.41650,-0.00000,0.73848,0,0.01156,3.41333,11,121,16
1,8,7.96266,4.84580,3.11686,1.55470,6.40042,-0.00000,0.74143,0,0.01284,3.50685,11,121,16
1,9,9.35999,5.19246,4.16754,1.24593,6.21221,-0.00000,0.77379,0,0.01014,4.19672,11,121,16
1,10,9.64883,6.14782,3.50101,1.75601,6.73069,-0.00000,0.68661,0,0.02674,2.61224,11,121,16
1,11,17.76058,8.14067,9.61991,0.84623,6.88447,-0.00000,0.65608,1,0.06837,2.37037,11,121,16
2,0,6.31743,4.61512,1.70231,2.71110,6.73539,-0.00000,0.68038,0,0.02004,2.69474,11,121,16
2,1,10.28690,6.23968,4.04722,1.54172,5.94839,-0.00000,0.80842,0,0.00656,5.44681,11,121,16
2,2,10.32461,6.31074,4.01387,1.57223,6.88297,-0.00000,0.65052,0,0.03851,2.26549,11,121,16
2,3,8.68116,5.32475,3.35641,1.58644,6.77769,-0.00000,0.67291,0,0.02975,2.46154,11,121,16
2,4,8.26571,5.12893,3.13678,1.63510,6.87099,-0.00000,0.65040,0,0.02709,2.26549,11,121,16
2,5,6.89814,4.68239,2.21575,2.11323,6.78118,-0.00000,0.66567,0,0.02531,2.37037,11,121,16
2,6,9.96436,5.26713,4.69723,1.12133,6.34169,-0.00000,0.75248,0,0.01583,3.65714,11,121,16
2,7,5.55613,4.29452,1.26161,3.40399,6.78314,-0.00000,0.66889,0,0.02070,2.43810,11,121,16
2,8,9.35612,5.21422,4.14189,1.25890,6.61085,-0.00000,0.70539,0,0.01956,2.78261,11,121,16
2,9,9.38992,6.31162,3.07830,2.05036,6.80178,-0.00000,0.66817,0,0.02833,2.41509,11,121,16
2,10,5.85391,4.32780,1.52611,2.83585,6.66452,-0.00000,0.69338,0,0.01688,2.81319,11,121,16
2,11,9.64914,5.61379,4.03535,1.39115,5.97048,-0.00000,0.80837,0,0.00710,5.56522,11,121,16
3,0,14.49300,7.47268,7.02032,1.06444,5.70261,-0.00000,0.83727,0,0.00480,8.00000,11,121,16
3,1,9.48294,5.09460,4.38833,1.16094,6.45674,-0.00000,0.73462,0,0.01136,3.28205,11,121,16
3,2,9.65935,5.86577,3.79358,1.54624,6.94201,-0.00000,0.63566,0,0.03876,2.16949,11,121,16
3,3,10.62555,5.69776,4.92779,1.15625,6.53372,-0.00000,0.72231,0,0.02043,3.08434,11,121,16
3,4,14.09902,7.41477,6.68426,1.10929,5.45710,-0.00000,0.86253,0,0.00292,8.25806,11,121,16
3,5,9.03646,5.38028,3.65618,1.47156,6.17863,-0.00000,0.78087,0,0.00925,4.26667,11,121,16
3,6,6.81037,5.33289,1.47748,3.60945,6.86140,-0.00000,0.64702,0,0.03409,2.20690,11,121,16
3,7,8.90604,5.52443,3.38161,1.63367,6.85637,-0.00000,0.65699,0,0.02854,2.37037,11,121,16
3,8,8.64889,4.65016,3.99873,1.16291,6.89571,-0.00000,0.64715,0,0.02525,2.18803,11,121,16
3,9,9.64388,4.99553,4.64835,1.07469,6.65151,-0.00000,0.69944,0,0.01830,2.69474,11,121,16
3,10,9.83987,5.17589,4.66397,1.10976,6.28786,-0.00000,0.76445,0,0.01472,4.00000,11,121,16
3,11,7.29801,4.79397,2.50403,1.91450,6.89031,-0.00000,0.64451,0,0.02993,2.22609,11,121,16
4,0,12.21368,5.79543,6.41824,0.90296,6.59377,-0.00000,0.71517,1,0.01438,2.90909,11,121,16
4,1,9.04483,5.29153,3.75330,1.40983,6.95466,-0.00000,0.63244,0,0.03536,2.18803,11,121,16
4,2,11.69395,6.85487,4.83908,1.41656,5.72555,-0.00000,0.83532,0,0.00614,7.52941,11,121,16
4,3,9.43988,6.25894,3.18093,1.96764,6.64957,-0.00000,0.69979,0,0.02012,2.75269,11,121,16
4,4,10.75825,6.10229,4.65596,1.31064,6.10573,-0.00000,0.78686,0,0.01040,4.83019,11,121,16
4,5,9.63539,5.62657,4.00882,1.40355,6.46783,-0.00000,0.73022,0,0.02463,3.28205,11,121,16
4,6,8.12079,4.86958,3.25121,1.49777,6.43270,-0.00000,0.73638,0,0.00967,3.24051,11,121,16
4,7,9.04157,5.38141,3.66016,1.47026,6.84806,-0.00000,0.65823,0,0.04076,2.34862,11,121,16
4,8,13.29284,7.01416,6.27867,1.11714,5.74780,-0.00000,0.83141,0,0.00467,7.75758,11,121,16
4,9,8.48862,4.94311,3.54550,1.39419,6.59807,-0.00000,0.70961,0,0.02361,2.94253,11,121,16
4,10,13.56236,7.21259,6.34977,1.13588,5.61638,-0.00000,0.84537,0,0.00339,8.25806,11,121,16
4,11,23.97601,10.16414,13.81186,0.73590,7.07032,-0.00000,0.60833,1,0.06724,2.01575,11,121,16
5,0,14.54046,7.56154,6.97891,1.08348,5.56781,-0.00000,0.85075,0,0.00450,8.25806,11,121,16
5,1,15.78479,8.10638,7.67841,1.05574,5.23566,-0.00000,0.88591,0,0.00066,8.25806,11,121,16
5,2,8.95831,5.84196,3.11635,1.87461,6.65149,-0.00000,0.69636,0,0.01431,2.63918,11,121,16
5,3,7.54824,5.22330,2.32495,2.24663,6.49224,-0.00000,0.73146,0,0.01728,3.28205,11,121,16
5,4,8.74498,4.71609,4.02889,1.17057,6.53539,-0.00000,0.72362,0,0.01469,3.08434,11,121,16
5,5,14.24135,7.52823,6.71312,1.12142,5.65738,-0.00000,0.83962,0,0.00499,8.00000,11,121,16
5,6,11.88646,6.49750,5.38896,1.20571,6.24533,-0.00000,0.76441,0,0.01516,4.06349,11,121,16
5,7,11.07830,5.38624,5.69206,0.94627,6.59110,-0.00000,0.71870,1,0.01379,2.97674,11,121,16
5,8,12.38431,6.75977,5.62455,1.20183,5.97306,-0.00000,0.80208,0,0.00866,5.95349,11,121,16
5,9,14.00001,7.60662,6.39339,1.18976,5.38238,-0.00000,0.87079,0,0.00193,8.25806,11,121,16
5,10,8.34301,5.50063,2.84238,1.93522,6.62377,-0.00000,0.69533,0,0.01977,2.61224,11,121,16
5,11,9.44024,5.48954,3.95070,1.38951,6.53604,-0.00000,0.71806,0,0.01597,2.94253,11,121,16
6,0,7.28589,5.16223,2.12366,2.43082,6.62839,-0.00000,0.69625,0,0.02117,2.72340,11,121,16
6,1,13.87603,7.52966,6.34637,1.18645,5.80798,-0.00000,0.82907,0,0.00343,6.56410,11,121,16
6,2,12.02431,6.42107,5.60324,1.14596,5.75074,-0.00000,0.83289,0,0.00569,7.52941,11,121,16
6,3,10.98823,6.05306,4.93517,1.22652,6.03819,-0.00000,0.80111,0,0.00587,4.92308,11,121,16
