layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
9,6,0.9696,5.2860,15.38139,0.8804,8.2581,20
9,9,0.9696,5.2656,15.52900,0.8826,8.2581,20
6,9,0.9586,5.2125,15.71475,0.8878,8.2581,18
11,9,0.9586,5.3695,15.05853,0.8722,8.2581,25
5,1,0.9582,5.2357,15.78479,0.8859,8.2581,18
10,10,0.9582,5.4529,14.64753,0.8633,8.2581,30
10,2,0.9544,5.3721,14.92971,0.8710,8.2581,25
11,6,0.9541,5.4170,14.59847,0.8670,8.2581,28
11,2,0.9540,5.5750,13.67589,0.8499,8.2581,26
5,11,0.9503,6.5360,9.44024,0.7181,2.9425,28
10,9,0.9503,6.4927,10.42267,0.7277,3.2000,24
2,11,0.9498,5.9705,9.64914,0.8084,5.5652,12
6,5,0.9498,6.1407,10.40996,0.7816,4.8302,25
5,5,0.9491,5.6574,14.24135,0.8396,8.0000,21
6,1,0.9491,5.8080,13.87603,0.8291,6.5641,17
6,11,0.9460,6.3366,9.82283,0.7543,3.6571,29
9,10,0.9460,6.5649,10.29549,0.7170,3.0118,21
5,7,0.9447,6.5911,11.07830,0.7187,2.9767,14
8,7,0.9447,6.5738,9.89412,0.7126,2.8764,20
8,6,0.9434,5.4467,14.59223,0.8639,8.2581,29
10,1,0.9433,5.5421,14.75666,0.8529,8.2581,22
7,5,0.9430,6.2472,11.22686,0.7696,4.2667,24
7,1,0.9429,5.6265,13.48987,0.8436,8.0000,24
9,4,0.9425,5.4776,14.89543,0.8640,8.2581,26
9,5,0.9415,5.8965,12.39967,0.8145,6.4000,22
11,7,0.9415,5.8481,12.64707,0.8187,6.9189,21
7,6,0.9403,5.9339,11.63686,0.8099,5.8182,23
9,7,0.9403,5.8030,12.26004,0.8281,6.7368,21
11,10,0.9402,6.5071,9.71263,0.7181,3.0843,27
3,4,0.9390,5.4571,14.09902,0.8625,8.2581,30
5,9,0.9390,5.3824,14.00001,0.8708,8.2581,23
11,5,0.9384,5.5843,14.32016,0.8517,8.0000,24
6,6,0.9381,5.6762,13.12681,0.8388,8.0000,24
8,4,0.9376,6.6565,9.17082,0.6964,2.7234,25
5,6,0.9371,6.2453,11.88646,0.7644,4.0635,18
8,10,0.9371,6.1509,10.33243,0.7760,4.7407,26
2,3,0.9367,6.7777,8.68116,0.6729,2.4615,8
3,2,0.9367,6.9420,9.65935,0.6357,2.1695,3
3,10,0.9354,6.2879,9.83987,0.7644,4.0000,28
1,8,0.9347,6.4004,7.96266,0.7414,3.5068,23
1,9,0.9347,6.2122,9.35999,0.7738,4.1967,22
9,0,0.9333,6.1336,11.44963,0.7846,4.6545,27
9,2,0.9333,6.2379,10.70500,0.7674,3.8788,25
10,0,0.9300,6.1634,10.67955,0.7843,4.1290,26
7,2,0.9286,5.2109,15.75488,0.8878,8.2581,18
8,1,0.9286,5.2366,15.56034,0.8852,8.2581,20
7,10,0.9285,5.2443,15.65534,0.8849,8.2581,20
11,1,0.9283,5.9992,11.94426,0.7989,5.6889,28
7,7,0.9283,5.3635,15.10447,0.8742,8.2581,24
5,0,0.9280,5.5678,14.54046,0.8508,8.2581,23
3,1,0.9275,6.4567,9.48294,0.7346,3.2821,34
10,3,0.9267,5.9178,12.45427,0.8095,6.4000,19
7,9,0.9259,5.9085,11.57316,0.8110,6.4000,23
10,7,0.9252,6.2101,11.03955,0.7705,4.4138,25
5,4,0.9248,6.5354,8.74498,0.7236,3.0843,29
3,3,0.9243,6.5337,10.62555,0.7223,3.0843,19
4,5,0.9243,6.4678,9.63539,0.7302,3.2821,30
4,4,0.9241,6.1057,10.75825,0.7869,4.8302,29
9,1,0.9241,5.4204,15.21138,0.8665,8.2581,26
9,11,0.9241,5.2277,15.56092,0.8859,8.2581,20
9,8,0.9239,5.8747,11.98102,0.8155,6.2439,22
6,10,0.9238,5.4126,14.53069,0.8682,8.2581,28
11,11,0.9237,6.4134,9.95038,0.7394,3.3247,31
7,11,0.9236,5.3437,15.11491,0.8752,8.2581,24
7,0,0.9231,6.6328,9.87849,0.7008,2.7826,22
4,8,0.9220,5.7478,13.29284,0.8314,7.7576,22
5,8,0.9220,5.9731,12.38431,0.8021,5.9535,22
10,8,0.9204,5.2791,15.17269,0.8810,8.2581,20
1,1,0.9167,6.6615,7.12326,0.6939,2.8132,29
1,2,0.9167,6.6010,6.76756,0.7076,2.9767,23
11,3,0.9164,6.5288,8.98795,0.7160,2.9425,27
0,7,0.9142,6.8026,7.13082,0.6616,2.3704,13
2,5,0.9142,6.7812,6.89814,0.6657,2.3704,18
4,6,0.9141,6.4327,8.12079,0.7364,3.2405,28
6,7,0.9141,6.4273,7.96608,0.7345,3.2821,27
2,6,0.9141,6.3417,9.96436,0.7525,3.6571,30
10,11,0.9134,6.6582,11.08757,0.7007,2.7826,10
1,3,0.9128,6.4524,6.66413,0.7388,3.5556,13
2,10,0.9128,6.6645,5.85391,0.6934,2.8132,18
4,10,0.9122,5.6164,13.56236,0.8454,8.2581,26
8,0,0.9122,5.6406,13.12655,0.8425,8.0000,23
8,2,0.9114,6.0586,10.73423,0.7896,5.0196,26
10,4,0.9114,6.2466,11.09239,0.7616,4.0000,25
8,3,0.9108,5.8651,13.17808,0.8168,6.9189,21
1,0,0.9088,6.8419,7.73724,0.6536,2.2456,15
11,4,0.9077,6.1094,10.81191,0.7828,4.9231,30
2,7,0.9067,6.7831,5.55613,0.6689,2.4381,13
4,0,0.9058,6.5938,12.21368,0.7152,2.9091,2
8,8,0.9035,6.2319,10.61153,0.7670,4.0000,26
8,5,0.9017,6.6635,7.92110,0.6944,2.6392,33
7,4,0.9017,6.0729,12.26292,0.7972,4.6545,23
10,5,0.9017,6.2026,12.12393,0.7794,4.0635,16
3,0,0.9014,5.7026,14.49300,0.8373,8.0000,15
1,4,0.9013,6.2925,7.30727,0.7620,3.9385,10
3,9,0.9007,6.6515,9.64388,0.6994,2.6947,18
6,2,0.9002,5.7507,12.02431,0.8329,7.5294,18
5,10,0.8975,6.6238,8.34301,0.6953,2.6122,30
5,3,0.8973,6.4922,7.54824,0.7315,3.2821,25
6,0,0.8973,6.6284,7.28589,0.6962,2.7234,27
8,9,0.8971,6.2767,8.74262,0.7604,3.8788,16
6,4,0.8970,6.3410,9.82245,0.7496,3.4595,29
8,11,0.8966,5.6590,12.71062,0.8418,8.0000,18
7,8,0.8960,6.7000,9.10981,0.6880,2.5347,24
4,2,0.8954,5.7256,11.69395,0.8353,7.5294,15
2,4,0.8950,6.8710,8.26571,0.6504,2.2655,23
7,3,0.8899,6.0077,10.81341,0.8001,5.4468,27
3,6,0.8892,6.8614,6.81037,0.6470,2.2069,15
5,2,0.8892,6.6515,8.95831,0.6964,2.6392,20
6,8,0.8892,6.5825,9.52422,0.7084,2.9091,23
2,2,0.8879,6.8830,10.32461,0.6505,2.2655,3
3,7,0.8879,6.8564,8.90604,0.6570,2.3704,12
2,9,0.8840,6.8018,9.38992,0.6682,2.4151,6
9,3,0.8832,6.6501,8.90615,0.6974,2.7234,27
0,0,0.8827,6.5338,6.76402,0.7134,3.0843,21
0,2,0.8827,6.6302,6.56637,0.7003,2.7826,22
6,3,0.8812,6.0382,10.98823,0.8011,4.9231,29
0,9,0.8812,6.4910,6.37770,0.7257,3.3684,17
2,1,0.8798,5.9484,10.28690,0.8084,5.4468,15
4,9,0.8794,6.5981,8.48862,0.7096,2.9425,26
2,8,0.8784,6.6108,9.35612,0.7054,2.7826,2
0,11,0.8740,6.7069,5.88624,0.6854,2.7234,18
2,0,0.8740,6.7354,6.31743,0.6804,2.6947,21
3,11,0.8699,6.8903,7.29801,0.6445,2.2261,15
11,0,0.8697,6.7374,6.25502,0.6774,2.5098,11
1,6,0.8682,6.7155,7.64602,0.6788,2.5347,23
0,3,0.8675,6.7504,21.31676,0.6883,2.6667,1
0,5,0.8675,6.9368,19.94580,0.6420,2.1880,1
1,7,0.8671,6.4165,6.83376,0.7385,3.4133,16
3,8,0.8668,6.8957,8.64889,0.6472,2.1880,4
0,10,0.8662,6.7714,6.23927,0.6746,2.6122,17
3,5,0.8632,6.1786,9.03646,0.7809,4.2667,15
1,5,0.8604,6.7932,6.78283,0.6726,2.5600,15
4,1,0.8482,6.9547,9.04483,0.6324,2.1880,3
4,3,0.8445,6.6496,9.43988,0.6998,2.7527,7
0,8,0.8400,7.0801,7.90778,0.5928,1.9104,4
0,6,0.8321,6.8067,7.52936,0.6607,2.4615,20
4,7,0.7853,6.8481,9.04157,0.6582,2.3486,1
0,1,0.0000,6.6013,24.94008,0.7188,2.9767,0
0,4,0.0000,6.9244,12.74869,0.6459,2.2857,0
1,10,0.0000,6.7307,9.64883,0.6866,2.6122,0
1,11,0.0000,6.8845,17.76058,0.6561,2.3704,0
4,11,0.0000,7.0703,23.97601,0.6083,2.0157,0
10,6,0.0000,6.5129,12.76638,0.7295,3.2405,0
11,8,0.0000,7.0362,11.71849,0.6095,1.9394,0
