layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.76402,4.90269,1.86134,2.63396,6.15168,1.90865,0.75817,4,0.00000,3.32468,11,121,16
0,1,24.94008,21.22168,3.71840,5.70720,5.88736,1.40489,0.81799,4,0.00000,4.57143,11,121,16
0,2,6.56637,4.65776,1.90861,2.44039,6.23905,1.91452,0.74335,4,0.00000,3.04762,11,121,16
0,3,21.31676,17.81027,3.50649,5.07923,6.21195,1.44179,0.78148,4,0.00000,4.00000,11,121,16
0,4,12.74868,10.07704,2.67164,3.77185,6.40247,1.62525,0.75094,4,0.00000,3.32468,11,121,16
0,5,19.94580,17.12268,2.82312,6.06516,6.53782,1.34639,0.72673,4,0.00000,2.87640,11,121,16
0,6,7.52936,4.89935,2.63001,1.86286,6.37765,1.91354,0.72935,4,0.00000,2.90909,11,121,16
0,7,7.13082,5.46073,1.67008,3.26974,6.44276,1.87147,0.72556,4,0.00000,2.84444,11,121,16
0,8,7.90778,6.55254,1.35523,4.83499,6.57496,1.64747,0.70550,4,0.00000,2.53465,11,121,16
0,9,6.37769,4.56135,1.81634,2.51129,6.01791,1.91547,0.77839,4,0.00000,3.87879,11,121,16
0,10,6.23927,4.55234,1.68693,2.69860,6.36919,1.89222,0.74199,4,0.00000,3.08434,11,121,16
0,11,5.88624,4.09828,1.78796,2.29215,6.24293,1.95452,0.75889,0,0.00000,3.32468,11,121,16
1,0,7.73724,6.17171,1.56553,3.94224,6.48900,1.80164,0.72074,4,0.00000,2.84444,11,121,16
1,1,7.12326,5.79095,1.33231,4.34655,6.22370,1.73401,0.76087,4,0.00000,3.28205,11,121,16
1,2,6.76756,5.54302,1.22454,4.52660,6.15793,1.70976,0.76807,4,0.00000,3.41333,11,121,16
1,3,6.66413,4.63281,2.03131,2.28070,5.85679,1.92969,0.82230,4,0.00000,5.01961,11,121,16
1,4,7.30727,5.55748,1.74979,3.17608,5.76066,1.83769,0.81853,4,0.00000,4.74074,11,121,16
1,5,6.78283,5.08158,1.70125,2.98697,6.35713,1.81290,0.75039,4,0.00000,3.04762,11,121,16
1,6,7.64602,5.65101,1.99501,2.83258,6.30997,1.86566,0.75733,4,0.00000,3.36842,11,121,16
1,7,6.83375,4.95364,1.88012,2.63475,6.00489,1.90555,0.78757,4,0.00000,3.82090,11,121,16
1,8,7.96266,6.30214,1.66051,3.79530,5.83233,1.75558,0.81256,4,0.00000,4.65455,11,121,16
1,9,9.35999,7.57793,1.78207,4.25233,5.68056,1.68271,0.82823,4,0.00000,6.09524,11,121,16
1,10,9.64883,6.91335,2.73548,2.52729,6.21044,1.72353,0.76911,4,0.00000,3.24051,11,121,16
1,11,17.76058,15.29076,2.46982,6.19105,6.36081,1.38611,0.75779,4,0.00000,3.41333,11,121,16
2,0,6.31743,4.63284,1.68458,2.75014,6.39520,1.91233,0.73027,4,0.00000,2.87640,11,121,16
2,1,10.28690,7.89928,2.38762,3.30843,5.35592,1.78089,0.85935,4,0.00000,11.13043,11,121,16
2,2,10.32461,8.19225,2.13236,3.84187,6.46940,1.72382,0.73630,4,0.00000,2.97674,11,121,16
2,3,8.68116,7.22382,1.45734,4.95687,6.45578,1.68359,0.73198,4,0.00000,2.90909,11,121,16
2,4,8.26571,6.73553,1.53018,4.40178,6.46931,1.71888,0.73330,4,0.00000,2.97674,11,121,16
2,5,6.89814,5.43122,1.46691,3.70248,6.41481,1.81040,0.73373,4,0.00000,2.94253,11,121,16
2,6,9.96436,8.25261,1.71175,4.82115,5.62773,1.63134,0.84004,4,0.00000,6.91892,11,121,16
2,7,5.55613,4.03592,1.52021,2.65484,6.38305,1.93545,0.73753,0,0.00000,3.01176,11,121,16
2,8,9.35611,7.69453,1.66158,4.63084,6.21875,1.67310,0.77886,4,0.00000,3.60563,11,121,16
2,9,9.38992,7.05717,2.33275,3.02526,6.43741,1.82165,0.74031,4,0.00000,3.01176,11,121,16
2,10,5.85391,4.31875,1.53516,2.81321,6.27448,1.91485,0.74958,4,0.00000,3.20000,11,121,16
2,11,9.64914,7.67529,1.97385,3.88848,5.40175,1.72747,0.85457,4,0.00000,10.24000,11,121,16
3,0,14.49300,11.85406,2.63893,4.49199,4.91060,1.63140,0.89549,4,0.00000,16.00000,11,121,16
3,1,9.48294,7.88615,1.59678,4.93878,5.99652,1.62939,0.79992,4,0.00000,4.12903,11,121,16
3,2,9.65935,7.94754,1.71180,4.64279,6.47284,1.68993,0.73603,4,0.00000,2.97674,11,121,16
3,3,10.62555,8.65752,1.96803,4.39908,5.96296,1.65662,0.81250,4,0.00000,4.26667,11,121,16
3,4,14.09902,11.37771,2.72131,4.18096,4.59159,1.66453,0.91147,4,0.00000,16.00000,11,121,16
3,5,9.03646,6.98478,2.05168,3.40443,5.57235,1.77655,0.83538,4,0.00000,7.52941,11,121,16
3,6,6.81037,4.96611,1.84427,2.69273,6.53791,1.92950,0.71059,4,0.00000,2.69474,11,121,16
3,7,8.90604,6.88103,2.02501,3.39802,6.48781,1.75335,0.73213,4,0.00000,2.87640,11,121,16
3,8,8.64889,7.31105,1.33784,5.46484,6.45927,1.58885,0.74052,4,0.00000,3.04762,11,121,16
3,9,9.64388,8.15710,1.48679,5.48639,6.10989,1.59041,0.79684,4,0.00000,4.33898,11,121,16
3,10,9.83987,8.30117,1.53870,5.39493,5.76644,1.60186,0.82590,4,0.00000,5.22449,11,121,16
3,11,7.29800,5.55955,1.73845,3.19798,6.51806,1.82912,0.72141,4,0.00000,2.69474,11,121,16
4,0,12.21368,10.52270,1.69098,6.22286,5.98883,1.51757,0.81599,4,0.00000,4.41379,11,121,16
4,1,9.04483,7.12920,1.91564,3.72158,6.58035,1.70061,0.70960,4,0.00000,2.61224,11,121,16
4,2,11.69395,8.93202,2.76193,3.23398,5.07336,1.77160,0.88182,4,0.00000,16.00000,11,121,16
4,3,9.43987,6.60472,2.83515,2.32958,6.17588,1.86181,0.77475,4,0.00000,3.55556,11,121,16
4,4,10.75825,8.63746,2.12079,4.07276,5.57880,1.69694,0.83984,4,0.00000,6.91892,11,121,16
4,5,9.63539,7.86436,1.77103,4.44057,6.01465,1.68038,0.79546,4,0.00000,3.93846,11,121,16
4,6,8.12079,6.43359,1.68720,3.81318,5.97251,1.75384,0.78623,4,0.00000,4.12903,11,121,16
4,7,9.04157,7.39940,1.64217,4.50586,6.42708,1.67587,0.74163,4,0.00000,3.12195,11,121,16
4,8,13.29284,10.74984,2.54299,4.22724,4.92215,1.66171,0.89266,4,0.00000,16.00000,11,121,16
4,9,8.48861,6.97840,1.51022,4.62079,6.37000,1.68469,0.74463,4,0.00000,3.04762,11,121,16
4,10,13.56236,10.94745,2.61491,4.18656,4.84750,1.66435,0.89650,4,0.00000,16.00000,11,121,16
4,11,23.97600,21.10203,2.87397,7.34246,6.03561,1.32140,0.78503,4,0.00000,3.76471,11,121,16
5,0,14.54046,11.79543,2.74502,4.29703,4.72859,1.64807,0.90439,4,0.00000,16.00000,11,121,16
5,1,15.78479,12.82960,2.95519,4.34139,4.23587,1.63983,0.93055,4,0.00000,16.00000,11,121,16
5,2,8.95831,6.48104,2.47727,2.61620,6.23545,1.85520,0.77018,4,0.00000,3.45946,11,121,16
5,3,7.54824,5.45926,2.08899,2.61335,6.20951,1.88368,0.76517,4,0.00000,3.41333,11,121,16
5,4,8.74498,7.33095,1.41403,5.18446,6.08891,1.62889,0.79499,4,0.00000,4.12903,11,121,16
5,5,14.24135,11.54019,2.70117,4.27230,4.89956,1.65229,0.89185,4,0.00000,16.00000,11,121,16
5,6,11.88646,9.65402,2.23244,4.32443,5.66780,1.65840,0.83545,4,0.00000,5.56522,11,121,16
5,7,11.07830,9.44306,1.63524,5.77473,5.98188,1.54200,0.81705,4,0.00000,4.57143,11,121,16
5,8,12.38431,9.98554,2.39878,4.16276,5.33698,1.67242,0.86087,4,0.00000,11.13043,11,121,16
5,9,14.00001,11.14667,2.85334,3.90653,4.56043,1.69153,0.91498,4,0.00000,16.00000,11,121,16
5,10,8.34301,6.23623,2.10678,2.96007,6.22715,1.83768,0.76271,4,0.00000,3.12195,11,121,16
5,11,9.44023,7.67852,1.76171,4.35856,6.07424,1.68076,0.78764,4,0.00000,3.76471,11,121,16
6,0,7.28589,5.41029,1.87560,2.88457,6.23711,1.88261,0.76157,4,0.00000,3.24051,11,121,16
6,1,13.87603,11.14537,2.73066,4.08157,5.12991,1.67087,0.88857,4,0.00000,10.66667,11,121,16
6,2,12.02431,9.72224,2.30206,4.22327,5.03936,1.66779,0.88021,4,0.00000,16.00000,11,121,16
6,3,10.98823,8.69544,2.29278,3.79253,5.34645,1.71559,0.86677,4,0.00000,10.24000,11,121,16
6,4,9.82245,7.45510,2.36736,3.14912,5.85084,1.78424,0.81191,4,0.00000,4.65455,11,121,16
6,5,10.40996,8.45266,1.95729,4.31855,5.53009,1.67420,0.84543,4,0.00000,8.00000,11,121,16
6,6,13.12681,10.60095,2.52586,4.19697,4.90507,1.66560,0.89325,4,0.00000,16.00000,11,121,16
6,7,7.96607,5.99604,1.97004,3.04362,6.01682,1.84314,0.79175,4,0.00000,4.06349,11,121,16
6,8,9.52421,7.27085,2.25336,3.22667,6.11413,1.79305,0.78972,4,0.00000,3.71014,11,121,16
6,9,15.71475,12.72636,2.98839,4.25860,4.19130,1.64772,0.93191,4,0.00000,16.00000,11,121,16
6,10,14.53069,11.74382,2.78686,4.21399,4.56774,1.65715,0.91322,4,0.00000,16.00000,11,121,16
6,11,9.82283,7.95473,1.86811,4.25818,5.88132,1.68494,0.81537,4,0.00000,4.65455,11,121,16
7,0,9.87849,8.23311,1.64537,5.00380,6.07409,1.63034,0.79836,4,0.00000,3.93846,11,121,16
7,1,13.48987,10.83881,2.65106,4.08848,4.96673,1.67659,0.88486,4,0.00000,16.00000,11,121,16
7,2,15.75487,12.80550,2.94937,4.34177,4.19035,1.64024,0.93143,4,0.00000,16.00000,11,121,16
7,3,10.81340,8.52373,2.28967,3.72269,5.42326,1.72142,0.85353,4,0.00000,9.48148,11,121,16
7,4,12.26292,9.95632,2.30659,4.31646,5.64215,1.65127,0.84414,4,0.00000,6.24390,11,121,16
7,5,11.22685,9.13183,2.09502,4.35883,5.66744,1.65523,0.84085,4,0.00000,6.09524,11,121,16
7,6,11.63686,9.09608,2.54077,3.58005,5.33111,1.73626,0.86371,4,0.00000,11.13043,11,121,16
7,7,15.10447,12.26907,2.83540,4.32710,4.40150,1.64497,0.92318,4,0.00000,16.00000,11,121,16
7,8,9.10981,7.05422,2.05559,3.43173,6.28239,1.75858,0.76695,4,0.00000,3.50685,11,121,16
