layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
9,6,0.9696,4.3248,15.38139,0.9259,16.0000,17
9,9,0.9696,4.2675,15.52900,0.9281,16.0000,13
10,2,0.9544,4.4536,14.92971,0.9181,16.0000,18
10,10,0.9540,4.6031,14.64753,0.9123,16.0000,17
11,2,0.9540,4.7655,13.67589,0.9020,16.0000,18
2,11,0.9504,5.4018,9.64914,0.8546,10.2400,10
6,5,0.9504,5.5301,10.40996,0.8454,8.0000,21
5,11,0.9494,6.0742,9.44023,0.7876,3.7647,25
10,9,0.9494,6.0349,10.42267,0.8016,4.2667,18
5,5,0.9489,4.8996,14.24135,0.8919,16.0000,13
6,1,0.9489,5.1299,13.87603,0.8886,10.6667,12
6,11,0.9466,5.8813,9.82283,0.8154,4.6545,25
9,10,0.9466,6.0313,10.29549,0.8066,4.2667,21
5,7,0.9448,5.9819,11.07830,0.8170,4.5714,16
8,7,0.9448,6.1654,9.89411,0.7887,3.8788,19
7,5,0.9438,5.6674,11.22685,0.8409,6.0952,19
8,6,0.9434,4.5741,14.59223,0.9135,16.0000,16
11,6,0.9434,4.5318,14.59847,0.9133,16.0000,17
10,1,0.9433,4.6660,14.75666,0.9075,16.0000,19
9,4,0.9425,4.5969,14.89543,0.9177,16.0000,15
9,5,0.9415,5.2174,12.39967,0.8753,12.1905,15
11,7,0.9415,5.1558,12.64707,0.8754,15.0588,16
7,6,0.9405,5.3311,11.63686,0.8637,11.1304,17
9,7,0.9405,5.1238,12.26004,0.8782,14.2222,17
11,10,0.9401,6.0398,9.71263,0.7904,3.8788,23
5,1,0.9393,4.2359,15.78479,0.9305,16.0000,13
6,9,0.9393,4.1913,15.71475,0.9319,16.0000,10
3,4,0.9390,4.5916,14.09902,0.9115,16.0000,15
5,9,0.9390,4.5604,14.00001,0.9150,16.0000,17
7,1,0.9384,4.9667,13.48987,0.8849,16.0000,15
8,4,0.9382,6.1420,9.17082,0.7901,3.7647,24
3,10,0.9360,5.7664,9.83987,0.8259,5.2245,21
2,3,0.9358,6.4558,8.68116,0.7320,2.9091,9
3,2,0.9358,6.4728,9.65935,0.7360,2.9767,3
5,6,0.9357,5.6678,11.88646,0.8355,5.5652,15
8,10,0.9357,5.5688,10.33243,0.8374,7.3143,22
11,9,0.9353,4.4433,15.05853,0.9204,16.0000,19
1,8,0.9348,5.8323,7.96266,0.8126,4.6545,10
1,9,0.9348,5.6806,9.35999,0.8282,6.0952,14
9,0,0.9335,5.6441,11.44963,0.8428,8.0000,18
9,2,0.9335,5.7442,10.70500,0.8356,6.0952,19
3,1,0.9298,5.9965,9.48294,0.7999,4.1290,26
7,2,0.9286,4.1904,15.75487,0.9314,16.0000,10
8,1,0.9286,4.2308,15.56034,0.9289,16.0000,13
7,10,0.9285,4.2637,15.65534,0.9290,16.0000,13
7,7,0.9282,4.4015,15.10447,0.9232,16.0000,20
6,6,0.9277,4.9051,13.12681,0.8932,16.0000,16
11,1,0.9270,5.2971,11.94426,0.8648,12.1905,16
10,3,0.9268,5.2422,12.45426,0.8689,13.4737,14
10,7,0.9252,5.7085,11.03955,0.8304,5.8182,17
3,3,0.9250,5.9630,10.62555,0.8125,4.2667,19
4,5,0.9250,6.0147,9.63539,0.7955,3.9385,25
7,0,0.9240,6.0741,9.87849,0.7984,3.9385,22
4,4,0.9238,5.5788,10.75825,0.8398,6.9189,23
5,4,0.9238,6.0889,8.74498,0.7950,4.1290,24
7,11,0.9236,4.4289,15.11491,0.9220,16.0000,21
11,11,0.9234,5.9811,9.95038,0.8023,4.3390,22
11,5,0.9230,4.7592,14.32016,0.9082,16.0000,18
9,11,0.9204,4.2008,15.56092,0.9304,16.0000,11
10,8,0.9204,4.3125,15.17268,0.9250,16.0000,15
7,9,0.9194,5.2687,11.57316,0.8640,14.2222,16
1,1,0.9163,6.2237,7.12326,0.7609,3.2821,23
1,2,0.9163,6.1579,6.76756,0.7681,3.4133,18
9,8,0.9163,5.2330,11.98102,0.8688,14.2222,14
11,3,0.9162,6.1813,8.98795,0.7747,3.4595,23
4,6,0.9144,5.9725,8.12079,0.7862,4.1290,18
6,7,0.9144,6.0168,7.96607,0.7918,4.0635,22
10,11,0.9139,6.0771,11.08757,0.8042,4.2667,13
0,7,0.9131,6.4428,7.13082,0.7256,2.8444,14
2,5,0.9131,6.4148,6.89814,0.7337,2.9425,18
4,10,0.9124,4.8475,13.56236,0.8965,16.0000,14
8,0,0.9124,4.8489,13.12655,0.8927,16.0000,15
2,6,0.9109,5.6277,9.96436,0.8400,6.9189,18
10,0,0.9102,5.6539,10.67955,0.8468,5.8182,20
11,4,0.9081,5.4924,10.81191,0.8467,8.2581,22
2,7,0.9076,6.3831,5.55613,0.7375,3.0118,13
2,10,0.9076,6.2745,5.85391,0.7496,3.2000,14
4,8,0.9073,4.9221,13.29284,0.8927,16.0000,16
5,0,0.9073,4.7286,14.54046,0.9044,16.0000,17
1,0,0.9073,6.4890,7.73724,0.7207,2.8444,11
5,8,0.9052,5.3370,12.38431,0.8609,11.1304,14
7,4,0.9044,5.6421,12.26292,0.8441,6.2439,13
10,5,0.9044,5.6679,12.12393,0.8466,5.9535,13
8,8,0.9030,5.7834,10.61153,0.8229,6.0952,22
3,9,0.9028,6.1099,9.64388,0.7968,4.3390,15
6,10,0.9024,4.5677,14.53069,0.9132,16.0000,16
8,2,0.9023,5.3757,10.73423,0.8521,12.1905,14
3,0,0.9015,4.9106,14.49300,0.8955,16.0000,12
4,0,0.9004,5.9888,12.21368,0.8160,4.4138,2
6,2,0.8999,5.0394,12.02431,0.8802,16.0000,14
8,9,0.8996,5.7958,8.74261,0.8124,4.9231,16
5,10,0.8986,6.2272,8.34301,0.7627,3.1220,27
6,4,0.8985,5.8508,9.82245,0.8119,4.6545,23
2,4,0.8982,6.4693,8.26571,0.7333,2.9767,19
8,3,0.8981,5.0817,13.17808,0.8833,15.0588,19
1,3,0.8979,5.8568,6.66413,0.8223,5.0196,6
1,4,0.8979,5.7607,7.30727,0.8185,4.7407,5
8,11,0.8969,4.9319,12.71062,0.8924,16.0000,14
5,3,0.8969,6.2095,7.54824,0.7652,3.4133,25
6,0,0.8969,6.2371,7.28589,0.7616,3.2405,24
7,8,0.8964,6.2824,9.10981,0.7669,3.5068,19
4,2,0.8955,5.0734,11.69395,0.8818,16.0000,13
10,4,0.8940,5.6774,11.09239,0.8288,6.4000,17
2,2,0.8911,6.4694,10.32461,0.7363,2.9767,3
3,7,0.8911,6.4878,8.90604,0.7321,2.8764,7
10,6,0.8911,5.8725,12.76638,0.8273,5.6889,4
5,2,0.8893,6.2354,8.95831,0.7702,3.4595,17
6,8,0.8893,6.1141,9.52421,0.7897,3.7101,20
3,6,0.8854,6.5379,6.81037,0.7106,2.6947,10
9,3,0.8854,6.2334,8.90615,0.7719,3.4595,22
0,0,0.8850,6.1517,6.76402,0.7582,3.3247,19
0,6,0.8850,6.3777,7.52936,0.7293,2.9091,12
2,9,0.8847,6.4374,9.38992,0.7403,3.0118,2
0,2,0.8816,6.2390,6.56637,0.7434,3.0476,19
