layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
1,1,0.9626,6.6892,6.75644,0.6888,2.8444,29
1,2,0.9626,6.5658,6.56719,0.7155,3.3247,25
6,9,0.9580,5.4668,15.41359,0.8657,7.5294,20
7,10,0.9580,5.5401,15.28178,0.8571,7.5294,23
8,11,0.9499,6.0049,11.22326,0.8018,4.7407,23
10,7,0.9499,6.1753,10.25302,0.7762,4.1290,33
10,6,0.9436,5.7656,13.62942,0.8310,6.0952,21
10,10,0.9436,5.6339,14.40313,0.8454,7.1111,26
2,11,0.9400,6.0068,9.27731,0.8016,4.9231,15
3,10,0.9400,6.2177,10.09530,0.7697,4.0000,30
9,0,0.9368,6.3639,10.18899,0.7535,3.3684,26
9,2,0.9368,6.3074,9.78140,0.7645,3.9385,26
6,7,0.9367,6.4900,7.99103,0.7297,3.1605,31
7,3,0.9367,6.4401,8.73329,0.7373,3.5068,27
5,5,0.9344,5.5292,14.95449,0.8580,7.5294,24
5,1,0.9343,5.3324,15.89570,0.8791,7.5294,14
7,11,0.9343,5.4595,15.18203,0.8663,7.5294,21
9,6,0.9335,5.5365,15.00938,0.8585,7.1111,24
11,2,0.9335,5.7449,12.36905,0.8308,6.9189,18
11,7,0.9335,5.8168,12.52716,0.8204,6.2439,25
6,5,0.9325,5.8952,11.17764,0.8121,5.6889,22
8,9,0.9325,6.0461,11.13324,0.7938,4.4912,26
5,10,0.9308,6.3723,9.60861,0.7512,3.4595,28
2,7,0.9271,6.6574,5.66096,0.7002,2.9091,13
2,10,0.9271,6.5669,5.89875,0.7164,3.0843,20
8,10,0.9258,6.1763,9.53950,0.7731,4.0635,27
7,7,0.9235,5.7175,14.01376,0.8344,6.9189,23
5,7,0.9225,6.3218,11.27869,0.7538,3.5068,15
5,4,0.9220,6.4313,8.06052,0.7383,3.4595,30
8,4,0.9220,6.3542,9.09471,0.7536,3.6056,26
6,6,0.9197,6.1436,10.97936,0.7772,4.4138,27
4,3,0.9195,6.3687,8.15182,0.7547,3.6571,12
7,8,0.9195,6.5322,8.71958,0.7158,3.0118,25
9,5,0.9181,5.9788,11.34274,0.8067,5.1200,23
9,8,0.9181,6.0604,11.81732,0.8018,4.6545,21
10,11,0.9163,6.2884,12.71397,0.7521,3.6571,6
4,4,0.9162,6.2124,9.61648,0.7708,4.1967,30
10,2,0.9158,5.5382,14.30860,0.8560,8.0000,23
6,10,0.9143,5.5248,14.54876,0.8590,7.5294,23
2,5,0.9136,6.7234,7.29779,0.6841,2.6122,12
1,3,0.9136,6.2879,6.64448,0.7700,4.0635,9
1,4,0.9136,6.2428,7.05494,0.7722,4.1290,9
7,4,0.9130,6.1644,10.65232,0.7812,3.8788,32
8,3,0.9128,6.0453,11.73169,0.7952,4.4912,23
7,6,0.9127,5.9468,11.51631,0.8059,5.4468,22
10,3,0.9119,5.9444,11.44730,0.8050,5.4468,23
11,1,0.9119,5.9499,10.65375,0.8048,5.1200,25
5,6,0.9119,6.2703,12.14683,0.7606,3.8209,10
7,0,0.9119,6.4068,10.91497,0.7408,3.5556,15
1,8,0.9109,6.3181,7.22529,0.7571,3.8209,19
3,1,0.9109,6.2602,8.66531,0.7576,3.9385,24
7,2,0.9105,5.3336,15.84271,0.8788,7.5294,15
11,6,0.9104,5.5484,14.16365,0.8564,7.5294,23
10,1,0.9104,5.6064,14.31262,0.8503,7.1111,26
10,0,0.9099,6.5626,9.36692,0.7188,2.8764,18
10,5,0.9085,6.3785,10.90098,0.7529,3.5068,18
1,0,0.9081,6.9042,7.90644,0.6385,2.2261,9
3,2,0.9081,7.0566,8.20778,0.6077,2.0157,6
6,2,0.9072,5.7023,11.90585,0.8327,8.0000,15
3,8,0.9069,6.8200,7.65457,0.6663,2.4151,16
8,7,0.9069,6.8118,9.12712,0.6674,2.4381,8
11,9,0.9065,5.5921,14.40892,0.8505,7.5294,26
9,9,0.9065,5.4793,15.30040,0.8647,7.3143,22
11,11,0.9053,6.5088,8.95726,0.7263,3.0118,23
4,0,0.9050,6.5595,9.31093,0.7117,2.9767,14
2,4,0.9045,6.8333,8.64249,0.6605,2.3925,12
0,9,0.9040,6.4094,6.27591,0.7458,3.5556,17
6,0,0.9038,6.5238,7.49208,0.7207,3.0843,30
2,6,0.9033,6.2028,9.21864,0.7719,4.0635,26
8,1,0.9031,5.3885,15.45152,0.8737,7.7576,20
6,8,0.9030,6.8701,10.20617,0.6553,2.3704,3
2,8,0.9029,6.6215,7.80073,0.7027,2.7826,19
3,4,0.9022,5.8063,13.10945,0.8208,6.5641,20
4,10,0.9022,5.7967,12.94016,0.8183,7.3143,23
0,7,0.9011,6.8379,7.50430,0.6600,2.3063,10
3,3,0.9011,6.6093,10.44943,0.7062,2.9767,8
9,4,0.9003,5.5628,14.65249,0.8548,7.3143,25
5,0,0.9000,5.6361,14.37888,0.8445,7.3143,25
9,1,0.9000,5.5342,14.95531,0.8588,7.1111,24
10,8,0.9000,5.4612,15.03888,0.8647,8.0000,21
10,4,0.8999,5.8316,11.88036,0.8215,6.2439,20
11,5,0.8997,5.8168,13.17584,0.8207,6.5641,21
3,0,0.8982,5.8357,13.97459,0.8214,5.8182,13
0,0,0.8979,6.7109,6.59890,0.6782,2.4381,24
0,6,0.8979,6.8385,7.89939,0.6654,2.4615,10
8,8,0.8961,6.1057,9.82787,0.7871,4.5714,27
4,6,0.8959,6.2828,8.04333,0.7606,4.0635,23
