layer,head,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,dominant_level,reconstruction_error_30pct,compression_ratio_99,matrix_dim,data_volume,seq_len_padded
0,0,6.59890,4.80598,1.79292,2.68054,6.55496,-0.00000,0.70656,0,0.01797,2.87640,12,144,16
0,1,23.08817,10.17224,12.91593,0.78757,6.39084,-0.00000,0.75708,1,0.01551,3.45946,12,144,16
0,2,6.64904,4.22205,2.42699,1.73963,6.75632,-0.00000,0.67777,0,0.02307,2.53465,12,144,16
0,3,17.15942,8.82838,8.33104,1.05970,6.54909,-0.00000,0.72707,0,0.02425,3.16049,12,144,16
0,4,8.97480,5.72942,3.24538,1.76541,6.83911,-0.00000,0.65766,0,0.03486,2.28571,12,144,16
0,5,19.49492,8.39669,11.09823,0.75658,6.70098,-0.00000,0.69644,1,0.03027,2.63918,12,144,16
0,6,7.89939,5.75999,2.13940,2.69233,6.68114,-0.00000,0.68871,0,0.02330,2.63918,12,144,16
0,7,7.50430,5.10937,2.39493,2.13341,6.72451,-0.00000,0.68466,0,0.01946,2.61224,12,144,16
0,8,7.73156,4.43200,3.29956,1.34321,6.90981,-0.00000,0.64507,0,0.01824,2.20690,12,144,16
0,9,6.27591,4.27139,2.00453,2.13087,6.42065,-0.00000,0.74156,0,0.01138,3.71014,12,144,16
0,10,5.90520,4.22965,1.67555,2.52433,6.73324,-0.00000,0.68254,0,0.01739,2.72340,12,144,16
0,11,5.65967,4.58006,1.07961,4.24231,6.70908,-0.00000,0.68190,0,0.02949,2.63918,12,144,16
1,0,7.90644,4.80430,3.10214,1.54870,6.69388,-0.00000,0.69033,0,0.02367,2.63918,12,144,16
1,1,6.75644,4.25588,2.50056,1.70197,6.66228,-0.00000,0.69415,0,0.02244,2.75269,12,144,16
1,2,6.56719,3.81834,2.74884,1.38907,6.54909,-0.00000,0.72043,0,0.01636,3.24051,12,144,16
1,3,6.64448,4.83922,1.80525,2.68064,6.41201,-0.00000,0.74591,0,0.01146,3.60563,12,144,16
1,4,7.05494,4.57899,2.47595,1.84938,6.31498,-0.00000,0.75661,0,0.01180,3.93846,12,144,16
1,5,6.90386,4.09423,2.80963,1.45721,6.86255,-0.00000,0.65697,0,0.02718,2.30631,12,144,16
1,6,7.47220,4.96808,2.50412,1.98397,6.62871,-0.00000,0.69820,0,0.01812,2.81319,12,144,16
1,7,6.91656,4.73887,2.17768,2.17611,6.48727,-0.00000,0.72402,0,0.01231,3.12195,12,144,16
1,8,7.22529,4.43142,2.79387,1.58612,6.33473,-0.00000,0.75832,0,0.01028,3.82090,12,144,16
1,9,8.68925,4.81789,3.87136,1.24449,6.18318,-0.00000,0.77896,0,0.00971,4.49123,12,144,16
1,10,9.44961,6.00847,3.44115,1.74606,6.69463,-0.00000,0.69385,0,0.02020,2.69474,12,144,16
1,11,13.65965,6.45279,7.20686,0.89537,6.71443,-0.00000,0.69319,1,0.03092,2.58586,12,144,16
2,0,7.40255,4.33344,3.06911,1.41195,6.66793,-0.00000,0.69455,0,0.01612,2.66667,12,144,16
2,1,10.26476,6.12640,4.13835,1.48040,5.96017,-0.00000,0.80579,0,0.00732,5.12000,12,144,16
2,2,11.37474,6.08547,5.28927,1.15053,6.90083,-0.00000,0.65118,0,0.04515,2.32727,12,144,16
2,3,7.22053,4.94598,2.27455,2.17449,6.63770,-0.00000,0.69758,0,0.01819,2.69474,12,144,16
2,4,8.64249,4.82599,3.81649,1.26451,6.85583,-0.00000,0.65636,0,0.03431,2.32727,12,144,16
2,5,7.29779,4.91016,2.38764,2.05649,6.73005,-0.00000,0.68468,0,0.02131,2.58586,12,144,16
2,6,9.21864,5.13481,4.08383,1.25735,6.26255,-0.00000,0.76760,0,0.00887,3.82090,12,144,16
2,7,5.66096,4.33454,1.32642,3.26785,6.63789,-0.00000,0.69938,0,0.01884,2.87640,12,144,16
