layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.24511,7.87546,2.36965,3.1532,6.1936,1.7723,0.7721,0.00000,1.1055
1,12,7.93716,6.07593,1.86123,3.3162,6.0556,1.7655,0.7890,0.00000,0.0000
2,12,8.21119,6.33347,1.87772,3.3739,6.0727,1.7903,0.7855,0.00000,0.0000
3,12,9.47148,7.43153,2.03996,3.6417,5.9851,1.7456,0.7915,0.00000,0.0000
4,12,10.63026,8.53476,2.09550,4.0473,5.8504,1.6937,0.8097,0.00000,0.0000
5,12,11.31132,9.06726,2.24406,4.0304,5.3688,1.6985,0.8526,0.00000,0.0000
6,12,10.76932,8.54069,2.22863,3.7909,5.4367,1.7278,0.8495,0.00000,0.0000
7,12,11.83581,9.52882,2.30698,4.1591,5.2548,1.6814,0.8643,0.00000,0.0000
8,12,11.00802,8.76748,2.24053,3.9279,5.3899,1.7065,0.8547,0.00000,0.0000
9,12,12.09527,9.68772,2.40755,4.0992,5.2352,1.6936,0.8658,0.00000,0.0000
10,12,12.21179,9.77107,2.44072,4.0034,5.2799,1.6908,0.8622,0.00000,0.0000
11,12,10.81207,8.28936,2.52271,3.2866,5.5245,1.7618,0.8358,0.00000,1.1055
