layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.24511,5.56074,4.68437,1.4616,6.6676,0.0000,0.6965,0.02671,0.4330
1,12,7.93716,4.23107,3.70609,1.1779,6.5174,0.0000,0.7222,0.02122,0.2764
2,12,8.21119,4.29957,3.91162,1.2327,6.5732,0.0000,0.7093,0.02253,0.5000
3,12,9.47149,4.53019,4.94130,1.0452,6.4855,0.0000,0.7193,0.02470,0.4930
4,12,10.63026,4.76645,5.86380,0.9409,6.3459,0.0000,0.7429,0.02497,0.4714
5,12,11.31132,4.49480,6.81652,0.7752,6.0374,0.0000,0.7901,0.01128,0.3727
6,12,10.76932,4.49281,6.27651,0.7926,6.0760,0.0000,0.7838,0.01383,0.3727
7,12,11.83581,4.57616,7.25965,0.6703,5.9328,0.0000,0.8054,0.01087,0.2764
8,12,11.00802,4.46824,6.53978,0.7121,6.0002,0.0000,0.7961,0.01070,0.0000
9,12,12.09527,4.72221,7.37306,0.6928,5.9303,0.0000,0.8059,0.00986,0.2764
10,12,12.21179,4.72527,7.48653,0.6593,5.9446,0.0000,0.8025,0.01096,0.0000
11,12,10.81207,4.87615,5.93592,1.0288,6.0703,0.0000,0.7825,0.01318,0.4930
