layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,74.690,1.0000,nan,0.00203,0.8355
0,0,0.20,59.681,1.0000,nan,0.01141,0.8409
0,0,0.30,52.692,0.9999,nan,0.02552,0.8030
0,0,0.40,49.917,0.9999,nan,0.03512,0.8030
0,0,0.50,43.823,0.9994,nan,0.07084,0.7511
0,1,0.10,65.416,1.0000,nan,0.00590,0.5740
0,1,0.20,56.367,1.0000,nan,0.01671,0.5206
0,1,0.30,51.281,1.0000,nan,0.03002,0.4535
0,1,0.40,47.124,0.9999,nan,0.04844,0.5152
0,1,0.50,45.079,0.9998,nan,0.06130,0.4556
0,2,0.10,72.680,1.0000,nan,0.00256,0.8193
0,2,0.20,62.487,1.0000,nan,0.00826,0.8139
0,2,0.30,57.671,1.0000,nan,0.01438,0.8193
0,2,0.40,51.476,0.9999,nan,0.02935,0.7511
0,2,0.50,48.880,0.9998,nan,0.03957,0.7511
0,3,0.10,67.736,1.0000,nan,0.00451,0.7460
0,3,0.20,56.396,1.0000,nan,0.01666,0.7013
0,3,0.30,51.272,1.0000,nan,0.03005,0.5942
0,3,0.40,46.357,0.9998,nan,0.05291,0.5079
0,3,0.50,42.807,0.9996,nan,0.07963,0.4646
0,4,0.10,60.265,1.0000,nan,0.01067,0.8355
0,4,0.20,51.393,0.9999,nan,0.02963,0.7749
0,4,0.30,45.982,0.9998,nan,0.05525,0.7370
0,4,0.40,40.898,0.9992,nan,0.09920,0.7673
0,4,0.50,36.463,0.9978,nan,0.16529,0.7511
0,5,0.10,68.852,1.0000,nan,0.00397,0.5509
0,5,0.20,58.916,1.0000,nan,0.01246,0.5812
0,5,0.30,52.972,1.0000,nan,0.02470,0.5725
0,5,0.40,49.417,0.9999,nan,0.03720,0.5152
0,5,0.50,44.642,0.9998,nan,0.06446,0.4232
0,6,0.10,66.044,1.0000,nan,0.00549,0.8355
0,6,0.20,56.539,1.0000,nan,0.01639,0.8193
0,6,0.30,49.635,0.9998,nan,0.03628,0.8030
0,6,0.40,45.283,0.9996,nan,0.05988,0.8030
0,6,0.50,41.278,0.9990,nan,0.09495,0.7121
0,7,0.10,69.679,1.0000,nan,0.00361,0.8139
0,7,0.20,60.527,1.0000,nan,0.01035,0.8139
0,7,0.30,52.459,0.9999,nan,0.02621,0.7976
