layer,n_heads,E_total,E_low,E_high,E_ratio_LH,shannon,spec_entropy,gini,rec_err_30pct,std_dom_level
0,12,10.97123,6.22872,4.74252,2.0261,6.6945,0.0000,0.6906,0.02659,0.4330
1,12,8.84032,5.18957,3.65075,1.5387,6.4936,0.0000,0.7270,0.01676,0.2764
2,12,8.80888,5.38897,3.41992,1.7074,6.5034,0.0000,0.7175,0.01813,0.0000
3,12,10.35769,6.14508,4.21261,1.6018,6.4185,0.0000,0.7300,0.01728,0.0000
4,12,11.65093,6.44996,5.20097,1.4370,6.3310,0.0000,0.7441,0.01794,0.2764
5,12,11.53255,6.48966,5.04289,1.4760,6.1619,0.0000,0.7713,0.01247,0.0000
6,12,11.33326,6.33058,5.00268,1.3948,6.0620,0.0000,0.7844,0.01187,0.0000
7,12,12.17116,6.68452,5.48665,1.2718,6.0288,0.0000,0.7893,0.00939,0.0000
8,12,11.68942,6.50645,5.18297,1.3095,6.0338,0.0000,0.7907,0.01014,0.0000
9,12,12.86374,6.93461,5.92912,1.2509,5.8253,0.0000,0.8151,0.00790,0.0000
10,12,12.91942,6.94018,5.97924,1.1849,5.8573,0.0000,0.8110,0.00837,0.0000
11,12,11.21517,6.50540,4.70976,1.5888,6.0960,0.0000,0.7743,0.01457,0.0000
