layer,head,redundancy_score,entropy,energy,sparsity,compression_ratio,n_partners
8,0,0.9660,5.8361,11.97246,0.8206,6.7368,23
11,1,0.9660,5.9483,11.38390,0.8038,5.9535,24
4,10,0.9622,5.4857,14.56677,0.8591,8.2581,31
11,5,0.9622,5.6792,13.97505,0.8427,7.5294,30
10,0,0.9586,5.5158,14.47466,0.8584,8.2581,32
10,6,0.9586,5.6053,13.77445,0.8497,8.0000,31
10,1,0.9586,5.4822,14.76920,0.8614,8.2581,31
10,10,0.9586,5.3098,15.22969,0.8788,8.2581,19
11,4,0.9565,5.8948,10.51515,0.8128,5.9535,14
1,4,0.9559,6.2945,7.62724,0.7614,4.0635,16
2,10,0.9559,6.5056,6.84147,0.7234,3.1605,28
9,6,0.9545,5.3237,15.36754,0.8774,8.2581,22
9,11,0.9544,5.2949,15.13797,0.8799,8.2581,19
10,8,0.9544,5.3202,15.15685,0.8769,8.2581,20
7,10,0.9543,5.3951,15.12717,0.8700,8.2581,25
7,7,0.9495,5.7195,13.88876,0.8361,7.7576,26
9,5,0.9495,5.8940,12.40300,0.8145,6.4000,25
1,1,0.9450,6.5945,7.63053,0.7066,2.8764,34
1,2,0.9450,6.4656,7.05747,0.7345,3.4133,25
5,1,0.9432,5.2860,15.79443,0.8822,8.2581,17
7,2,0.9432,5.4405,15.31629,0.8673,8.2581,27
10,2,0.9428,5.4676,14.09419,0.8624,8.2581,29
6,10,0.9424,5.4010,14.78128,0.8697,8.2581,26
8,6,0.9424,5.5719,14.48380,0.8536,8.0000,31
3,0,0.9416,5.9114,13.69680,0.8125,6.2439,16
10,7,0.9416,5.8135,12.80842,0.8220,7.5294,29
4,4,0.9391,6.1530,10.70977,0.7776,4.5714,25
5,11,0.9391,6.0649,11.61970,0.7899,5.4468,26
2,7,0.9390,6.7362,6.46489,0.6791,2.6122,17
6,9,0.9390,5.3208,15.52069,0.8780,8.2581,20
2,11,0.9387,5.9689,10.31997,0.8069,5.6889,19
6,5,0.9387,6.1440,10.32691,0.7785,4.9231,27
8,3,0.9379,5.7567,13.52365,0.8301,7.5294,27
9,4,0.9379,5.6043,14.28842,0.8494,8.0000,28
2,6,0.9363,5.8528,12.10932,0.8236,6.2439,24
8,9,0.9356,6.0383,11.40676,0.7963,5.3333,26
