layer,head,wavelet_kmeans,wavelet_agglo,wavelet_spectral,raw_kmeans
0,0,5,7,7,2
0,1,3,3,3,4
0,2,4,6,1,2
0,3,3,3,3,4
0,4,0,1,2,2
0,5,3,3,3,4
0,6,0,1,2,2
0,7,5,7,7,1
0,8,5,6,5,2
0,9,4,6,1,2
0,10,5,7,7,2
0,11,5,7,7,2
1,0,0,1,7,2
1,1,0,1,2,1
1,2,0,1,2,2
1,3,4,6,1,2
1,4,5,2,7,1
1,5,0,1,2,1
1,6,0,1,2,2
1,7,5,2,7,2
1,8,5,6,5,2
1,9,7,4,5,2
1,10,6,6,1,2
1,11,3,3,3,4
2,0,5,7,7,2
2,1,1,0,3,1
2,2,6,4,5,1
2,3,0,1,2,2
2,4,0,1,2,2
2,5,5,4,5,1
2,6,1,0,6,1
2,7,5,7,7,1
2,8,5,7,7,1
2,9,0,1,2,1
2,10,5,7,7,1
2,11,1,2,6,1
3,0,1,0,0,1
3,1,4,6,1,2
3,2,6,4,5,2
3,3,7,4,5,0
3,4,2,0,0,1
3,5,7,4,5,2
3,6,5,4,5,1
3,7,0,1,2,0
3,8,4,6,1,1
3,9,7,4,5,1
3,10,0,2,3,1
3,11,0,1,2,7
4,0,6,4,5,6
4,1,4,6,1,2
4,2,1,0,3,1
4,3,0,1,2,0
4,4,1,2,3,1
4,5,0,1,2,7
4,6,7,4,5,0
4,7,0,1,2,0
4,8,1,0,0,1
4,9,4,6,1,2
4,10,2,5,4,1
4,11,3,3,3,3
5,0,1,2,3,1
5,1,2,5,4,1
5,2,4,6,1,0
5,3,4,6,1,2
5,4,7,4,5,0
5,5,2,0,0,1
5,6,0,1,3,1
5,7,6,4,5,0
5,8,1,2,3,1
5,9,2,5,4,1
5,10,7,2,3,1
5,11,1,2,3,1
6,0,5,6,7,2
6,1,2,5,4,1
6,2,2,0,6,1
6,3,1,2,3,1
6,4,0,1,2,1
6,5,1,2,3,1
6,6,2,0,0,1
6,7,0,1,2,0
6,8,7,4,5,2
6,9,2,5,4,1
6,10,2,5,4,1
6,11,4,6,1,2
7,0,0,4,2,1
7,1,2,0,6,1
7,2,2,5,4,1
7,3,0,2,2,2
7,4,0,2,3,2
7,5,1,0,3,1
7,6,2,0,6,1
7,7,2,0,6,1
7,8,6,4,5,1
7,9,6,4,1,2
7,10,2,5,4,1
7,11,2,5,4,1
8,0,2,0,6,1
8,1,2,5,4,1
8,2,2,0,6,1
8,3,2,0,6,1
8,4,6,6,1,2
8,5,6,4,5,2
8,6,2,0,0,1
8,7,6,4,5,2
8,8,0,2,2,1
8,9,1,2,3,1
8,10,1,2,3,1
8,11,2,0,0,1
9,0,1,2,3,1
9,1,2,0,0,1
9,2,2,0,0,1
9,3,4,6,1,2
9,4,2,0,0,1
9,5,2,0,6,1
9,6,2,0,0,1
9,7,1,2,3,1
9,8,2,0,0,1
9,9,2,5,4,1
9,10,5,6,7,2
9,11,2,0,0,1
10,0,2,0,0,1
10,1,2,5,4,1
10,2,2,0,0,1
10,3,1,0,0,1
10,4,7,4,5,1
10,5,7,4,5,2
10,6,2,0,6,1
10,7,1,0,0,1
10,8,2,0,0,1
10,9,0,1,2,2
10,10,2,5,4,1
10,11,7,2,3,1
11,0,4,6,1,2
11,1,1,0,3,1
11,2,2,0,0,1
11,3,4,6,1,1
11,4,1,0,6,1
11,5,2,0,0,1
11,6,2,5,4,1
11,7,1,0,3,1
11,8,6,4,5,5
11,9,2,5,4,1
11,10,4,6,1,1
11,11,7,4,5,1
