layer,head,ratio,psnr_db,cosine,kl,drift,topk_preservation
0,0,0.10,155.568,1.0000,nan,0.00000,0.8510
0,0,0.20,155.568,1.0000,nan,0.00000,0.8510
0,0,0.30,155.568,1.0000,nan,0.00000,0.8510
0,0,0.40,61.917,1.0000,nan,0.00882,0.8510
0,0,0.50,48.504,0.9998,nan,0.04133,0.7904
0,1,0.10,151.597,1.0000,nan,0.00000,1.0000
0,1,0.20,151.597,1.0000,nan,0.00000,1.0000
0,1,0.30,151.597,1.0000,nan,0.00000,1.0000
0,1,0.40,89.588,1.0000,nan,0.00036,0.9697
0,1,0.50,75.014,1.0000,nan,0.00195,0.8268
0,2,0.10,155.912,1.0000,nan,0.00000,0.8510
0,2,0.20,155.912,1.0000,nan,0.00000,0.8510
0,2,0.30,155.912,1.0000,nan,0.00000,0.8510
0,2,0.40,62.924,1.0000,nan,0.00786,0.8510
0,2,0.50,47.581,0.9997,nan,0.04596,0.7385
0,3,0.10,149.605,1.0000,nan,0.00000,1.0000
0,3,0.20,149.605,1.0000,nan,0.00000,1.0000
0,3,0.30,149.605,1.0000,nan,0.00000,1.0000
0,3,0.40,88.862,1.0000,nan,0.00040,1.0000
0,3,0.50,63.600,1.0000,nan,0.00727,0.8788
0,4,0.10,156.879,1.0000,nan,0.00000,0.8510
0,4,0.20,156.879,1.0000,nan,0.00000,0.8510
0,4,0.30,156.879,1.0000,nan,0.00000,0.8510
0,4,0.40,60.142,1.0000,nan,0.01082,0.8510
0,4,0.50,42.609,0.9995,nan,0.08146,0.7525
0,5,0.10,149.417,1.0000,nan,0.00000,1.0000
0,5,0.20,149.417,1.0000,nan,0.00000,1.0000
0,5,0.30,149.417,1.0000,nan,0.00000,1.0000
0,5,0.40,94.541,1.0000,nan,0.00021,0.9091
0,5,0.50,68.260,1.0000,nan,0.00425,0.8571
0,6,0.10,151.901,1.0000,nan,0.00000,0.8510
0,6,0.20,151.901,1.0000,nan,0.00000,0.8510
0,6,0.30,151.901,1.0000,nan,0.00000,0.8510
0,6,0.40,65.462,1.0000,nan,0.00587,0.8510
0,6,0.50,50.589,0.9999,nan,0.03250,0.8510
0,7,0.10,156.685,1.0000,nan,0.00000,0.7688
0,7,0.20,156.685,1.0000,nan,0.00000,0.7688
0,7,0.30,156.685,1.0000,nan,0.00000,0.7688
0,7,0.40,61.546,1.0000,nan,0.00921,0.7385
0,7,0.50,47.854,0.9998,nan,0.04453,0.7385
0,8,0.10,153.528,1.0000,nan,0.00000,0.7688
0,8,0.20,153.528,1.0000,nan,0.00000,0.7688
0,8,0.30,153.528,1.0000,nan,0.00000,0.7688
0,8,0.40,58.227,1.0000,nan,0.01349,0.7688
0,8,0.50,46.999,0.9997,nan,0.04914,0.7688
0,9,0.10,154.983,1.0000,nan,0.00000,0.7688
0,9,0.20,154.983,1.0000,nan,0.00000,0.7688
0,9,0.30,154.983,1.0000,nan,0.00000,0.7688
0,9,0.40,66.839,1.0000,nan,0.00501,0.7688
0,9,0.50,50.406,0.9998,nan,0.03320,0.6778
0,10,0.10,155.098,1.0000,nan,0.00000,0.7688
0,10,0.20,155.098,1.0000,nan,0.00000,0.7688
0,10,0.30,155.098,1.0000,nan,0.00000,0.7688
0,10,0.40,56.342,1.0000,nan,0.01676,0.7688
0,10,0.50,47.470,0.9997,nan,0.04655,0.7688
0,11,0.10,155.128,1.0000,nan,0.00000,1.0000
0,11,0.20,155.128,1.0000,nan,0.00000,1.0000
0,11,0.30,155.128,1.0000,nan,0.00000,1.0000
0,11,0.40,59.396,1.0000,nan,0.01179,1.0000
0,11,0.50,47.434,0.9997,nan,0.04674,1.0000
1,0,0.10,155.924,1.0000,nan,0.00000,1.0000
1,0,0.20,155.924,1.0000,nan,0.00000,1.0000
1,0,0.30,155.924,1.0000,nan,0.00000,1.0000
1,0,0.40,61.211,1.0000,nan,0.00957,0.9394
1,0,0.50,49.905,0.9999,nan,0.03517,0.8207
1,1,0.10,153.689,1.0000,nan,0.00000,1.0000
1,1,0.20,153.689,1.0000,nan,0.00000,1.0000
1,1,0.30,153.689,1.0000,nan,0.00000,1.0000
1,1,0.40,67.365,1.0000,nan,0.00471,1.0000
1,1,0.50,49.345,0.9999,nan,0.03751,0.8788
1,2,0.10,151.735,1.0000,nan,0.00000,0.7688
1,2,0.20,151.735,1.0000,nan,0.00000,0.7688
1,2,0.30,151.735,1.0000,nan,0.00000,0.7688
1,2,0.40,61.930,1.0000,nan,0.00881,0.7688
1,2,0.50,50.706,0.9999,nan,0.03207,0.7385
1,3,0.10,153.586,1.0000,nan,0.00000,0.7688
1,3,0.20,153.586,1.0000,nan,0.00000,0.7688
1,3,0.30,153.586,1.0000,nan,0.00000,0.7688
1,3,0.40,72.448,1.0000,nan,0.00262,0.7688
1,3,0.50,58.095,1.0000,nan,0.01370,0.7082
1,4,0.10,156.379,1.0000,nan,0.00000,0.8874
1,4,0.20,156.379,1.0000,nan,0.00000,0.8874
1,4,0.30,156.379,1.0000,nan,0.00000,0.8874
1,4,0.40,69.227,1.0000,nan,0.00380,0.8874
1,4,0.50,59.789,1.0000,nan,0.01127,0.8874
1,5,0.10,151.572,1.0000,nan,0.00000,1.0000
1,5,0.20,151.572,1.0000,nan,0.00000,1.0000
1,5,0.30,151.572,1.0000,nan,0.00000,1.0000
1,5,0.40,61.236,1.0000,nan,0.00954,0.9697
1,5,0.50,48.447,0.9999,nan,0.04160,0.7904
1,6,0.10,151.760,1.0000,nan,0.00000,1.0000
1,6,0.20,151.760,1.0000,nan,0.00000,1.0000
1,6,0.30,151.760,1.0000,nan,0.00000,1.0000
1,6,0.40,60.987,1.0000,nan,0.00982,1.0000
1,6,0.50,47.712,0.9998,nan,0.04527,0.9394
1,7,0.10,155.663,1.0000,nan,0.00000,0.9697
