model,sentence_id,wavelet,snapshot,total_energy,low_freq_energy,high_freq_energy,energy_ratio_low_high,shannon_entropy,spectral_entropy,gini_sparsity,reconstruction_error_30pct,compression_ratio_99
bert-base,0,coif2,bert-base_00_The_bank_approved_the_loan_for,7.3945,4.6445,2.75,2.15107,6.86788,0.0,0.63892,0.04644,2.53178
bert-base,0,db4,bert-base_00_The_bank_approved_the_loan_for,7.3945,4.03697,3.35753,1.52485,6.88799,0.0,0.63864,0.04289,2.48972
bert-base,0,haar,bert-base_00_The_bank_approved_the_loan_for,7.3945,5.94514,1.44935,6.92919,6.54085,1.50436,0.6958,0.03721,3.56722
bert-base,0,sym4,bert-base_00_The_bank_approved_the_loan_for,7.3945,4.59296,2.80154,2.0812,6.85683,0.0,0.64228,0.04499,2.5659
bert-base,1,coif2,bert-base_01_The_fisher_sat_on_the_bank_of_,7.66657,3.88045,3.78611,1.31966,6.78147,0.0,0.66116,0.03946,2.78226
bert-base,1,db4,bert-base_01_The_fisher_sat_on_the_bank_of_,7.66657,4.16874,3.49783,1.35148,6.81043,0.0,0.65542,0.03895,2.69746
bert-base,1,haar,bert-base_01_The_fisher_sat_on_the_bank_of_,7.66656,6.06529,1.60128,7.77495,6.4655,1.47069,0.71233,0.03377,3.78937
bert-base,1,sym4,bert-base_01_The_fisher_sat_on_the_bank_of_,7.66657,3.92482,3.74175,1.34173,6.77118,0.0,0.66329,0.03838,2.80884
bert-base,2,coif2,bert-base_02_She_opened_her_book_and_starte,8.7214,5.04944,3.67196,1.63156,6.81984,0.0,0.64797,0.04568,2.65769
bert-base,2,db4,bert-base_02_She_opened_her_book_and_starte,8.7214,4.73995,3.98146,1.34838,6.82841,0.0,0.64823,0.04316,2.64199
bert-base,2,haar,bert-base_02_She_opened_her_book_and_starte,8.7214,6.93014,1.79127,7.68693,6.41007,1.49741,0.71825,0.03223,4.00939
bert-base,2,sym4,bert-base_02_She_opened_her_book_and_starte,8.7214,5.02149,3.69992,1.60239,6.8075,0.0,0.6517,0.04498,2.68695
bert-base,3,coif2,bert-base_03_The_young_boy_kicked_the_red_b,7.96295,5.14879,2.81417,2.31101,6.79573,0.0,0.65162,0.04645,2.72976
bert-base,3,db4,bert-base_03_The_young_boy_kicked_the_red_b,7.96295,4.36711,3.59584,1.53164,6.846,0.0,0.6461,0.04292,2.61033
bert-base,3,haar,bert-base_03_The_young_boy_kicked_the_red_b,7.96295,6.33212,1.63083,7.46646,6.44574,1.49626,0.71004,0.03588,3.97676
bert-base,3,sym4,bert-base_03_The_young_boy_kicked_the_red_b,7.96295,5.08915,2.87381,2.2255,6.77771,0.0,0.65696,0.04361,2.7703
bert-base,4,coif2,bert-base_04_The_judge_read_the_brief_and_d,7.78506,4.89906,2.88601,2.12522,6.84242,0.0,0.64006,0.04971,2.63015
bert-base,4,db4,bert-base_04_The_judge_read_the_brief_and_d,7.78506,4.20724,3.57783,1.4655,6.87029,0.0,0.63865,0.04568,2.56486
bert-base,4,haar,bert-base_04_The_judge_read_the_brief_and_d,7.78506,6.22025,1.56481,7.84254,6.46405,1.47868,0.7061,0.03711,3.96121
bert-base,4,sym4,bert-base_04_The_judge_read_the_brief_and_d,7.78506,4.83861,2.94645,2.04829,6.83294,0.0,0.64324,0.04797,2.65655
bert-base,5,coif2,bert-base_05_The_plant_near_the_window_need,8.35157,4.90138,3.45019,1.84787,6.8527,0.0,0.64451,0.04778,2.52821
bert-base,5,db4,bert-base_05_The_plant_near_the_window_need,8.35157,4.24008,4.11149,1.19268,6.8852,0.0,0.64013,0.04484,2.50168
bert-base,5,haar,bert-base_05_The_plant_near_the_window_need,8.35157,6.73503,1.61654,7.49566,6.50582,1.45369,0.70557,0.03521,3.68005
bert-base,5,sym4,bert-base_05_The_plant_near_the_window_need,8.35157,4.84558,3.506,1.77892,6.84438,0.0,0.64678,0.04692,2.55987
bert-base,6,coif2,bert-base_06_Workers_built_a_huge_plant_out,7.65358,4.79314,2.86044,2.20486,6.83261,0.0,0.64451,0.04424,2.59508
bert-base,6,db4,bert-base_06_Workers_built_a_huge_plant_out,7.65358,4.35115,3.30243,1.79425,6.87215,0.0,0.63858,0.0433,2.55292
bert-base,6,haar,bert-base_06_Workers_built_a_huge_plant_out,7.65358,6.24698,1.40659,8.48125,6.44484,1.52042,0.7107,0.03081,4.01628
bert-base,6,sym4,bert-base_06_Workers_built_a_huge_plant_out,7.65358,4.73808,2.9155,2.13047,6.82642,0.0,0.64682,0.04303,2.63548
bert-base,7,coif2,bert-base_07_Although_the_storm_was_fierce,7.04441,3.12435,3.92006,0.99346,6.80635,0.0,0.65516,0.04599,2.70889
bert-base,7,db4,bert-base_07_Although_the_storm_was_fierce,7.04441,3.71932,3.32509,1.29883,6.84189,0.0,0.64654,0.04659,2.63814
bert-base,7,haar,bert-base_07_Although_the_storm_was_fierce,7.04441,5.89989,1.14453,7.95006,6.44726,1.46296,0.71602,0.03447,3.90217
bert-base,7,sym4,bert-base_07_Although_the_storm_was_fierce,7.04441,3.17504,3.86937,1.01602,6.78716,0.0,0.65925,0.04326,2.76185
bert-base,8,coif2,bert-base_08_They_will_ship_the_packages_to,7.8088,5.02424,2.78456,2.1812,6.79677,0.0,0.65231,0.04386,2.66948
