i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.3954,0.3896,2.4161,34.2965
0,2,money,money,Y,0.7460,0.7488,5.4170,42.4560
0,3,money,river,N,0.5043,0.4974,9.0189,17.5815
0,4,money,money,Y,0.7589,0.7489,0.0272,18.6654
0,5,money,river,N,0.3880,0.3805,5.0124,10.4502
1,2,river,money,N,0.4802,0.4809,7.8331,8.1596
1,3,river,river,Y,0.7340,0.7281,6.6027,51.8779
1,4,river,money,N,0.3567,0.3515,2.3889,52.9618
1,5,river,river,Y,0.8532,0.8466,2.5962,23.8463
2,3,money,river,N,0.5237,0.5192,14.4359,60.0375
2,4,money,money,Y,0.6859,0.6861,5.4442,61.1214
2,5,money,river,N,0.4326,0.4272,10.4294,32.0058
3,4,river,money,N,0.4434,0.4295,8.9917,1.0839
3,5,river,river,Y,0.7347,0.7355,4.0065,28.0316
4,5,money,river,N,0.3714,0.3684,4.9852,29.1155
