anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bark,coif2,sound,2,0.10,0.9998,34.708,0.2746,1.000
bark,coif2,sound,2,0.20,0.9986,25.417,0.7995,1.000
bark,coif2,sound,2,0.30,0.9944,19.535,1.5768,1.000
bark,coif2,sound,2,0.40,0.9860,15.582,2.4862,1.000
bark,coif2,sound,2,0.50,0.9698,12.274,3.6360,1.000
bark,coif2,tree,2,0.10,0.9998,34.674,0.2673,1.000
bark,coif2,tree,2,0.20,0.9983,24.798,0.8305,1.000
bark,coif2,tree,2,0.30,0.9937,19.039,1.6119,1.000
bark,coif2,tree,2,0.40,0.9840,14.975,2.5734,1.000
bark,coif2,tree,2,0.50,0.9676,11.961,3.6413,1.000
