i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.3939,0.3817,19.7652,22.0463
0,2,factory,factory,Y,0.3242,0.3197,15.7973,0.0556
0,3,factory,factory,Y,0.6428,0.6335,7.9962,6.4878
0,4,factory,organism,N,0.4006,0.3998,18.6545,24.0029
1,2,organism,factory,N,0.4787,0.4773,3.9679,21.9907
1,3,organism,factory,N,0.5154,0.5223,11.7690,15.5585
1,4,organism,organism,Y,0.7634,0.7692,1.1107,1.9566
2,3,factory,factory,Y,0.5446,0.5347,7.8011,6.4322
2,4,factory,organism,N,0.4342,0.4369,2.8572,23.9473
3,4,factory,organism,N,0.4983,0.5048,10.6583,17.5151
