anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,coif2,boat,2,0.10,0.9998,35.146,0.2303,1.000
ship,coif2,boat,2,0.20,0.9984,25.025,0.7383,1.000
ship,coif2,boat,2,0.30,0.9943,19.454,1.4017,1.000
ship,coif2,boat,2,0.40,0.9865,15.719,2.1542,1.000
ship,coif2,boat,2,0.50,0.9708,12.409,3.1530,1.000
ship,coif2,verb,2,0.10,0.9998,33.083,0.2906,1.000
ship,coif2,verb,2,0.20,0.9982,24.523,0.7789,1.000
ship,coif2,verb,2,0.30,0.9936,18.924,1.4835,1.000
ship,coif2,verb,2,0.40,0.9833,14.791,2.3872,1.000
ship,coif2,verb,2,0.50,0.9677,11.975,3.3022,1.000
