i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.3954,0.3896,0.7870,35.6697
0,2,money,money,Y,0.7460,0.7488,2.9150,43.3700
0,3,money,river,N,0.5043,0.4974,5.5268,15.9634
0,4,money,money,Y,0.7589,0.7489,3.4123,13.0993
0,5,money,river,N,0.3880,0.3805,0.3752,12.0717
1,2,river,money,N,0.4802,0.4809,3.7020,7.7004
1,3,river,river,Y,0.7340,0.7281,4.7398,51.6331
1,4,river,money,N,0.3567,0.3515,2.6254,48.7689
1,5,river,river,Y,0.8532,0.8466,0.4118,23.5980
2,3,money,river,N,0.5237,0.5192,8.4419,59.3335
2,4,money,money,Y,0.6859,0.6861,6.3274,56.4693
2,5,money,river,N,0.4326,0.4272,3.2902,31.2983
3,4,river,money,N,0.4434,0.4295,2.1145,2.8641
3,5,river,river,Y,0.7347,0.7355,5.1516,28.0351
4,5,money,river,N,0.3714,0.3684,3.0372,25.1710
