anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bark,db4,sound,2,0.10,0.9997,31.945,0.3769,1.000
bark,db4,sound,2,0.20,0.9977,23.368,1.0123,1.000
bark,db4,sound,2,0.30,0.9928,18.406,1.7921,1.000
bark,db4,sound,2,0.40,0.9825,14.590,2.7811,1.000
bark,db4,sound,2,0.50,0.9636,11.465,3.9835,1.000
bark,db4,tree,2,0.10,0.9997,32.732,0.3375,1.000
bark,db4,tree,2,0.20,0.9978,23.618,0.9562,1.000
bark,db4,tree,2,0.30,0.9927,18.379,1.7439,1.000
bark,db4,tree,2,0.40,0.9825,14.631,2.6847,1.000
bark,db4,tree,2,0.50,0.9648,11.634,3.7899,1.000
