anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
crane,db4,bird,2,0.10,0.9998,33.196,0.3323,1.000
crane,db4,bird,2,0.20,0.9979,23.917,0.9650,1.000
crane,db4,bird,2,0.30,0.9935,18.917,1.7153,1.000
crane,db4,bird,2,0.40,0.9841,15.012,2.6839,1.000
crane,db4,bird,2,0.50,0.9670,11.877,3.8503,1.000
crane,db4,machine,2,0.10,0.9997,33.019,0.3054,1.000
crane,db4,machine,2,0.20,0.9980,23.990,0.8629,1.000
crane,db4,machine,2,0.30,0.9934,18.809,1.5667,1.000
crane,db4,machine,2,0.40,0.9852,15.336,2.3373,1.000
crane,db4,machine,2,0.50,0.9702,12.333,3.3025,1.000
