i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.3954,0.3896,1.6656,30.2147
0,2,money,money,Y,0.7460,0.7488,0.9733,46.8997
0,3,money,river,N,0.5043,0.4974,4.3551,22.2453
0,4,money,money,Y,0.7589,0.7489,1.8033,16.8892
0,5,money,river,N,0.3880,0.3805,2.6794,2.7584
1,2,river,money,N,0.4802,0.4809,0.6923,16.6850
1,3,river,river,Y,0.7340,0.7281,6.0207,52.4600
1,4,river,money,N,0.3567,0.3515,3.4689,47.1040
1,5,river,river,Y,0.8532,0.8466,1.0138,27.4564
2,3,money,river,N,0.5237,0.5192,5.3284,69.1450
2,4,money,money,Y,0.6859,0.6861,2.7766,63.7890
2,5,money,river,N,0.4326,0.4272,1.7062,44.1414
3,4,river,money,N,0.4434,0.4295,2.5518,5.3560
3,5,river,river,Y,0.7347,0.7355,7.0345,25.0036
4,5,money,river,N,0.3714,0.3684,4.4828,19.6476
