i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.2495,0.2364,2.9315,25.1322
0,2,game,firestick,N,0.2631,0.2626,4.2875,41.6225
0,3,game,correspond,N,0.2458,0.2317,3.6821,42.3479
0,4,game,game,Y,0.5516,0.5499,1.2177,82.9617
1,2,correspond,firestick,N,0.3485,0.3260,1.3561,16.4904
1,3,correspond,correspond,Y,0.6623,0.6554,6.6136,67.4800
1,4,correspond,game,N,0.3106,0.3068,1.7138,108.0938
2,3,firestick,correspond,N,0.3460,0.3286,7.9697,83.9704
2,4,firestick,game,N,0.3105,0.3003,3.0699,124.5842
3,4,correspond,game,N,0.3445,0.3258,4.8998,40.6138
