anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bank,sym4,money,3,0.10,0.9997,32.644,0.3516,1.000
bank,sym4,money,3,0.20,0.9980,23.958,0.9527,1.000
bank,sym4,money,3,0.30,0.9936,18.936,1.6986,1.000
bank,sym4,money,3,0.40,0.9832,14.783,2.7403,1.000
bank,sym4,money,3,0.50,0.9651,11.637,3.9380,1.000
bank,sym4,river,3,0.10,0.9997,32.946,0.3362,1.000
bank,sym4,river,3,0.20,0.9981,24.186,0.9210,1.000
bank,sym4,river,3,0.30,0.9932,18.709,1.7307,1.000
bank,sym4,river,3,0.40,0.9836,14.875,2.6908,1.000
bank,sym4,river,3,0.50,0.9682,12.040,3.7316,1.000
