anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bark,coif2,sound,2,0.10,0.9998,35.404,0.1783,1.000
bark,coif2,sound,2,0.20,0.9987,26.073,0.5189,1.000
bark,coif2,sound,2,0.30,0.9951,20.142,1.0245,1.000
bark,coif2,sound,2,0.40,0.9864,15.685,1.7115,1.000
bark,coif2,sound,2,0.50,0.9717,12.532,2.4618,1.000
bark,coif2,tree,2,0.10,0.9998,33.404,0.2235,1.000
bark,coif2,tree,2,0.20,0.9983,24.712,0.6064,1.000
bark,coif2,tree,2,0.30,0.9947,19.798,1.0666,1.000
bark,coif2,tree,2,0.40,0.9878,16.165,1.6207,1.000
bark,coif2,tree,2,0.50,0.9753,13.110,2.3036,1.000
