i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,factory,organism,N,0.5561,0.5434,16.3524,20.6570
0,2,factory,factory,Y,0.4568,0.4500,13.4962,14.4386
0,3,factory,factory,Y,0.7545,0.7478,5.5625,24.1904
0,4,factory,organism,N,0.5397,0.5282,12.7346,5.4993
1,2,organism,factory,N,0.6298,0.6193,2.8562,6.2184
1,3,organism,factory,N,0.6524,0.6447,10.7899,3.5334
1,4,organism,organism,Y,0.8244,0.8233,3.6177,15.1577
2,3,factory,factory,Y,0.5749,0.5630,7.9338,9.7518
2,4,factory,organism,N,0.6005,0.5951,0.7616,8.9393
3,4,factory,organism,N,0.5882,0.5822,7.1722,18.6911
