anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,coif2,boat,2,0.10,0.9999,35.802,0.1641,1.000
ship,coif2,boat,2,0.20,0.9985,25.314,0.5460,1.000
ship,coif2,boat,2,0.30,0.9942,19.407,1.0768,1.000
ship,coif2,boat,2,0.40,0.9852,15.324,1.7218,1.000
ship,coif2,boat,2,0.50,0.9705,12.354,2.4250,1.000
ship,coif2,verb,2,0.10,0.9998,33.639,0.2045,1.000
ship,coif2,verb,2,0.20,0.9982,24.415,0.5870,1.000
ship,coif2,verb,2,0.30,0.9936,18.946,1.1021,1.000
ship,coif2,verb,2,0.40,0.9839,14.970,1.7440,1.000
ship,coif2,verb,2,0.50,0.9685,12.079,2.4266,1.000
