anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,db4,boat,2,0.10,0.9998,34.995,0.1792,1.000
ship,db4,boat,2,0.20,0.9988,26.152,0.4951,1.000
ship,db4,boat,2,0.30,0.9955,20.467,0.9540,1.000
ship,db4,boat,2,0.40,0.9876,16.085,1.5806,1.000
ship,db4,boat,2,0.50,0.9736,12.831,2.2969,1.000
ship,db4,verb,2,0.10,0.9998,33.457,0.2071,1.000
ship,db4,verb,2,0.20,0.9984,24.932,0.5528,1.000
ship,db4,verb,2,0.30,0.9949,19.963,0.9793,1.000
ship,db4,verb,2,0.40,0.9880,16.213,1.5095,1.000
ship,db4,verb,2,0.50,0.9755,13.154,2.1460,1.000
