anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
rock,sym4,genre,2,0.10,0.9998,34.510,0.2021,1.000
rock,sym4,genre,2,0.20,0.9984,24.986,0.6028,1.000
rock,sym4,genre,2,0.30,0.9946,19.684,1.1100,1.000
rock,sym4,genre,2,0.40,0.9858,15.508,1.7960,1.000
rock,sym4,genre,2,0.50,0.9719,12.568,2.5185,1.000
rock,sym4,stone,2,0.10,0.9998,33.604,0.2203,1.000
rock,sym4,stone,2,0.20,0.9985,25.158,0.5801,1.000
rock,sym4,stone,2,0.30,0.9946,19.690,1.0873,1.000
rock,sym4,stone,2,0.40,0.9868,15.837,1.6943,1.000
rock,sym4,stone,2,0.50,0.9723,12.627,2.4510,1.000
