i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,money,river,N,0.9948,0.9947,2424.9546,15903.0760
0,2,money,money,Y,0.9988,0.9985,717.5733,5581.6769
0,3,money,river,N,0.9977,0.9972,7.4362,753.1494
0,4,money,money,Y,0.9965,0.9962,637.0861,5654.0060
0,5,money,river,N,0.9965,0.9961,1310.8724,8299.3289
1,2,river,money,N,0.9963,0.9962,3142.5279,21484.7529
1,3,river,river,Y,0.9950,0.9949,2432.3908,16656.2254
1,4,river,money,N,0.9868,0.9871,3062.0408,21557.0820
1,5,river,river,Y,0.9990,0.9989,1114.0822,7603.7471
2,3,money,river,N,0.9976,0.9971,710.1371,4828.5275
2,4,money,money,Y,0.9951,0.9950,80.4872,72.3291
2,5,money,river,N,0.9977,0.9975,2028.4457,13881.0058
3,4,river,money,N,0.9952,0.9947,629.6499,4900.8566
3,5,river,river,Y,0.9972,0.9968,1318.3086,9052.4783
4,5,money,river,N,0.9909,0.9908,1947.9585,13953.3349
