anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bark,coif2,sound,2,0.10,1.0000,60.239,0.2157,1.000
bark,coif2,sound,2,0.20,1.0000,51.107,0.6175,1.000
bark,coif2,sound,2,0.30,1.0000,45.747,1.1452,1.000
bark,coif2,sound,2,0.40,1.0000,41.621,1.8403,1.000
bark,coif2,sound,2,0.50,0.9999,38.331,2.6881,1.000
bark,coif2,tree,2,0.10,1.0000,59.482,0.2377,1.000
bark,coif2,tree,2,0.20,1.0000,50.009,0.7068,1.000
bark,coif2,tree,2,0.30,1.0000,44.682,1.3070,1.000
bark,coif2,tree,2,0.40,1.0000,40.569,2.1020,1.000
bark,coif2,tree,2,0.50,0.9999,37.543,2.9786,1.000
