anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
light,coif2,illumination,2,0.10,1.0000,58.472,0.2629,1.000
light,coif2,illumination,2,0.20,1.0000,49.866,0.7032,1.000
light,coif2,illumination,2,0.30,1.0000,44.573,1.2919,1.000
light,coif2,illumination,2,0.40,1.0000,40.873,1.9827,1.000
light,coif2,illumination,2,0.50,0.9999,37.809,2.8150,1.000
light,coif2,weight,2,0.10,1.0000,61.004,0.2096,1.000
light,coif2,weight,2,0.20,1.0000,51.243,0.6443,1.000
light,coif2,weight,2,0.30,1.0000,46.182,1.1560,1.000
light,coif2,weight,2,0.40,1.0000,42.348,1.7948,1.000
light,coif2,weight,2,0.50,0.9999,39.200,2.5777,1.000
