anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,coif2,boat,2,0.10,1.0000,59.683,0.2474,1.000
ship,coif2,boat,2,0.20,1.0000,51.291,0.6483,1.000
ship,coif2,boat,2,0.30,1.0000,46.170,1.1693,1.000
ship,coif2,boat,2,0.40,1.0000,42.377,1.8087,1.000
ship,coif2,boat,2,0.50,0.9999,39.242,2.5946,1.000
ship,coif2,verb,2,0.10,1.0000,60.135,0.2461,1.000
ship,coif2,verb,2,0.20,1.0000,51.638,0.6535,1.000
ship,coif2,verb,2,0.30,1.0000,46.280,1.2106,1.000
ship,coif2,verb,2,0.40,1.0000,42.421,1.8902,1.000
ship,coif2,verb,2,0.50,0.9999,39.290,2.7115,1.000
