anchor,wavelet,n_examples,n_senses,cosine_separation,wavelet_separation,inter_wav,cross_wav
bank,coif2,6,2,0.0021,0.0021,0.9967,0.9946
plant,coif2,5,2,0.0012,0.0009,0.9976,0.9967
match,coif2,5,3,0.0006,0.0007,0.9972,0.9965
bark,coif2,4,2,0.0029,0.0030,0.9981,0.9951
light,coif2,4,2,0.0001,0.0005,0.9956,0.9950
rock,coif2,4,2,0.0003,0.0006,0.9976,0.9970
crane,coif2,4,2,0.0003,0.0003,0.9990,0.9987
pen,coif2,4,2,-0.0009,-0.0006,0.9943,0.9949
ship,coif2,4,2,0.0005,0.0006,0.9986,0.9980
mouse,coif2,4,2,-0.0007,-0.0006,0.9967,0.9973
