anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
bank,db4,money,3,0.10,1.0000,58.773,0.2767,1.000
bank,db4,money,3,0.20,1.0000,50.096,0.7563,1.000
bank,db4,money,3,0.30,1.0000,44.473,1.4528,1.000
bank,db4,money,3,0.40,1.0000,40.603,2.2696,1.000
bank,db4,money,3,0.50,0.9999,37.577,3.2105,1.000
bank,db4,river,3,0.10,1.0000,59.022,0.2374,1.000
bank,db4,river,3,0.20,1.0000,49.236,0.7327,1.000
bank,db4,river,3,0.30,1.0000,44.083,1.3256,1.000
bank,db4,river,3,0.40,1.0000,40.256,2.0588,1.000
bank,db4,river,3,0.50,0.9999,37.017,2.9894,1.000
