anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
match,db4,correspond,2,0.10,1.0000,59.752,0.2211,1.000
match,db4,correspond,2,0.20,1.0000,50.347,0.6567,1.000
match,db4,correspond,2,0.30,1.0000,44.757,1.2527,1.000
match,db4,correspond,2,0.40,1.0000,40.888,1.9548,1.000
match,db4,correspond,2,0.50,0.9999,37.682,2.8127,1.000
match,db4,firestick,1,0.10,1.0000,59.608,0.2277,1.000
match,db4,firestick,1,0.20,1.0000,51.168,0.6016,1.000
match,db4,firestick,1,0.30,1.0000,45.271,1.1861,1.000
match,db4,firestick,1,0.40,1.0000,41.164,1.9033,1.000
match,db4,firestick,1,0.50,0.9999,37.858,2.7849,1.000
match,db4,game,2,0.10,1.0000,60.547,0.2306,1.000
match,db4,game,2,0.20,1.0000,51.413,0.6442,1.000
match,db4,game,2,0.30,1.0000,45.990,1.2011,1.000
match,db4,game,2,0.40,1.0000,41.821,1.9280,1.000
match,db4,game,2,0.50,0.9999,38.518,2.8117,1.000
