i,j,sense_i,sense_j,same_sense,cosine,wavelet,dE_low,dE_high
0,1,game,correspond,N,0.9969,0.9967,677.6528,12326.4333
0,2,game,firestick,N,0.9958,0.9957,483.9885,9094.0466
0,3,game,correspond,N,0.9980,0.9977,482.1620,8563.9081
0,4,game,game,Y,0.9988,0.9986,130.9045,1524.1038
1,2,correspond,firestick,N,0.9962,0.9962,193.6643,3232.3867
1,3,correspond,correspond,Y,0.9957,0.9957,195.4908,3762.5252
1,4,correspond,game,N,0.9970,0.9968,546.7483,10802.3295
2,3,firestick,correspond,N,0.9950,0.9949,1.8265,530.1385
2,4,firestick,game,N,0.9961,0.9959,353.0840,7569.9428
3,4,correspond,game,N,0.9979,0.9976,351.2575,7039.8043
