anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
light,haar,illumination,2,0.10,1.0000,60.259,0.2111,1.000
light,haar,illumination,2,0.20,1.0000,50.810,0.6272,1.000
light,haar,illumination,2,0.30,1.0000,45.685,1.1356,1.000
light,haar,illumination,2,0.40,1.0000,41.874,1.7618,1.000
light,haar,illumination,2,0.50,0.9999,38.839,2.4977,1.000
light,haar,weight,2,0.10,1.0000,60.484,0.2223,1.000
light,haar,weight,2,0.20,1.0000,51.685,0.6119,1.000
light,haar,weight,2,0.30,1.0000,46.472,1.1153,1.000
light,haar,weight,2,0.40,1.0000,42.581,1.7454,1.000
light,haar,weight,2,0.50,0.9999,39.621,2.4544,1.000
