anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
match,haar,correspond,2,0.10,1.0000,61.405,0.1828,1.000
match,haar,correspond,2,0.20,1.0000,52.023,0.5395,1.000
match,haar,correspond,2,0.30,1.0000,46.495,1.0193,1.000
match,haar,correspond,2,0.40,1.0000,42.645,1.5876,1.000
match,haar,correspond,2,0.50,0.9999,39.339,2.3200,1.000
match,haar,firestick,1,0.10,1.0000,60.858,0.1971,1.000
match,haar,firestick,1,0.20,1.0000,51.703,0.5656,1.000
match,haar,firestick,1,0.30,1.0000,46.106,1.0774,1.000
match,haar,firestick,1,0.40,1.0000,42.143,1.7004,1.000
match,haar,firestick,1,0.50,0.9999,39.140,2.4028,1.000
match,haar,game,2,0.10,1.0000,61.056,0.2096,1.000
match,haar,game,2,0.20,1.0000,52.103,0.5897,1.000
match,haar,game,2,0.30,1.0000,46.647,1.1034,1.000
match,haar,game,2,0.40,1.0000,42.540,1.7701,1.000
match,haar,game,2,0.50,0.9999,39.459,2.5229,1.000
