anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
ship,haar,boat,2,0.10,1.0000,62.061,0.1875,1.000
ship,haar,boat,2,0.20,1.0000,52.821,0.5453,1.000
ship,haar,boat,2,0.30,1.0000,47.731,0.9808,1.000
ship,haar,boat,2,0.40,1.0000,43.691,1.5579,1.000
ship,haar,boat,2,0.50,1.0000,40.484,2.2534,1.000
ship,haar,verb,2,0.10,1.0000,63.324,0.1735,1.000
ship,haar,verb,2,0.20,1.0000,53.123,0.5528,1.000
ship,haar,verb,2,0.30,1.0000,47.180,1.0933,1.000
ship,haar,verb,2,0.40,1.0000,43.227,1.7245,1.000
ship,haar,verb,2,0.50,0.9999,39.985,2.5026,1.000
