anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
crane,sym4,bird,2,0.10,1.0000,60.484,0.2041,1.000
crane,sym4,bird,2,0.20,1.0000,51.227,0.5924,1.000
crane,sym4,bird,2,0.30,1.0000,46.031,1.0780,1.000
crane,sym4,bird,2,0.40,1.0000,42.069,1.6974,1.000
crane,sym4,bird,2,0.50,0.9999,38.962,2.4195,1.000
crane,sym4,machine,2,0.10,1.0000,62.272,0.1812,1.000
crane,sym4,machine,2,0.20,1.0000,52.157,0.5808,1.000
crane,sym4,machine,2,0.30,1.0000,46.891,1.0650,1.000
crane,sym4,machine,2,0.40,1.0000,42.895,1.6871,1.000
crane,sym4,machine,2,0.50,0.9999,39.714,2.4333,1.000
