anchor,wavelet,sense,n,ratio,cos,snr_db,drift,inv_swap_rate
rock,sym4,genre,2,0.10,1.0000,58.345,0.2836,1.000
rock,sym4,genre,2,0.20,1.0000,49.626,0.7690,1.000
rock,sym4,genre,2,0.30,1.0000,44.305,1.4184,1.000
rock,sym4,genre,2,0.40,1.0000,40.393,2.2254,1.000
rock,sym4,genre,2,0.50,0.9999,37.182,3.2211,1.000
rock,sym4,stone,2,0.10,1.0000,59.467,0.2385,1.000
rock,sym4,stone,2,0.20,1.0000,50.934,0.6402,1.000
rock,sym4,stone,2,0.30,1.0000,45.658,1.1707,1.000
rock,sym4,stone,2,0.40,1.0000,41.747,1.8318,1.000
rock,sym4,stone,2,0.50,0.9999,38.302,2.7241,1.000
