model,method,dim,budget,cosine,jaccard10,bytes_per_token,extra
bert-base,pca,128,0.16666666666666666,0.78707,0.1812,563.5,var_explained=0.5082
bert-base,rand_proj,128,0.16666666666666666,0.38796,0.1758,512,
bert-base,wavelet_db4_sparse,1024,0.16666666666666666,0.85205,0.2783,1026,zero_ratio=0.840
bert-base,topk_raw_sparse,768,0.16666666666666666,0.81736,0.1456,1026,kept=171
bert-base,pca,192,0.25,0.82148,0.2661,819.5,var_explained=0.6366
bert-base,rand_proj,192,0.25,0.51184,0.2538,768,
bert-base,wavelet_db4_sparse,1024,0.25,0.90369,0.3419,1536,zero_ratio=0.756
bert-base,topk_raw_sparse,768,0.25,0.8959,0.1976,1536,kept=256
bert-base,pca,256,0.3333333333333333,0.85086,0.3401,1075.5,var_explained=0.7344
bert-base,rand_proj,256,0.3333333333333333,0.58452,0.3148,1024,
bert-base,wavelet_db4_sparse,1024,0.3333333333333333,0.93789,0.4079,2052,zero_ratio=0.672
bert-base,topk_raw_sparse,768,0.3333333333333333,0.94365,0.2534,2052,kept=342
bert-base,pca,384,0.5,0.89958,0.4687,1587.5,var_explained=0.8671
bert-base,rand_proj,384,0.5,0.70731,0.421,1536,
bert-base,wavelet_db4_sparse,1024,0.5,0.97633,0.5402,3072,zero_ratio=0.504
bert-base,topk_raw_sparse,768,0.5,0.98839,0.4483,3072,kept=512
bert-base,pca,512,0.6666666666666666,0.93986,0.5908,2099.5,var_explained=0.9437
bert-base,rand_proj,512,0.6666666666666666,0.81839,0.5193,2048,
bert-base,wavelet_db4_sparse,1024,0.6666666666666666,0.99343,0.6734,4098,zero_ratio=0.336
bert-base,topk_raw_sparse,768,0.6666666666666666,0.99956,0.8116,4098,kept=683
