model,method,budget_bytes,param,cosine,jaccard10,bytes_per_token,extra
deberta-base,topk_f32,64,nnz=10,0.32134,0.0357,60,
deberta-base,wav_f32,64,nnz=10,0.24207,0.0162,60,
deberta-base,topk_i8,64,nnz=21,0.42522,0.0545,63,
deberta-base,wav_i8,64,nnz=21,0.36924,0.0351,63,
deberta-base,topk_f32,128,nnz=21,0.42522,0.0546,126,
deberta-base,wav_f32,128,nnz=21,0.36924,0.0352,126,
deberta-base,topk_i8,128,nnz=42,0.54356,0.0961,126,
deberta-base,wav_i8,128,nnz=42,0.49054,0.0659,126,
deberta-base,topk_f32,256,nnz=42,0.54356,0.0961,252,
deberta-base,wav_f32,256,nnz=42,0.49054,0.0658,252,
deberta-base,topk_i8,256,nnz=85,0.68246,0.1874,255,
deberta-base,wav_i8,256,nnz=85,0.62665,0.1338,255,
deberta-base,topk_f32,512,nnz=85,0.68246,0.1872,510,
deberta-base,wav_f32,512,nnz=85,0.62666,0.1341,510,
deberta-base,topk_i8,512,nnz=170,0.82563,0.3745,510,
deberta-base,wav_i8,512,nnz=170,0.7703,0.2881,510,
deberta-base,topk_f32,1024,nnz=170,0.82564,0.3745,1020,
deberta-base,wav_f32,1024,nnz=170,0.77031,0.2882,1020,
deberta-base,topk_i8,1024,nnz=341,0.948,0.6346,1023,
deberta-base,wav_i8,1024,nnz=341,0.90507,0.5219,1023,
deberta-base,pca,64,d=16,0.38346,0.1773,65.0,
deberta-base,rand_proj,64,d=16,0.14118,0.0268,65.0,
deberta-base,dct_f32,64,nnz=10,0.35121,0.0309,60,
deberta-base,fft_c64,64,nnz=10,0.3724,0.0337,100,
deberta-base,pq,64,m=64,0.72217,0.241,79.6,
deberta-base,pca,128,d=32,0.43979,0.2194,130.0,
deberta-base,rand_proj,128,d=32,0.20346,0.0485,130.0,
deberta-base,dct_f32,128,nnz=21,0.44773,0.051,126,
deberta-base,fft_c64,128,nnz=21,0.47982,0.0596,210,
deberta-base,pq,128,m=128,0.87838,0.475,143.6,
deberta-base,pca,256,d=64,0.5172,0.2836,260.0,
deberta-base,rand_proj,256,d=64,0.28662,0.0887,259.9,
deberta-base,dct_f32,256,nnz=42,0.55986,0.0914,252,
deberta-base,fft_c64,256,nnz=42,0.60441,0.1175,420,
deberta-base,pq,256,m=256,0.97548,0.7363,271.6,
deberta-base,pca,512,d=128,0.61853,0.3767,519.9,
deberta-base,rand_proj,512,d=128,0.40666,0.17,519.8,
deberta-base,dct_f32,512,nnz=85,0.69287,0.1956,510,
deberta-base,fft_c64,512,nnz=85,0.75123,0.2682,850,
deberta-base,pca,1024,d=256,0.74723,0.5075,1039.7,
deberta-base,rand_proj,1024,d=256,0.57599,0.2979,1039.6,
deberta-base,dct_f32,1024,nnz=170,0.83117,0.3791,1020,
deberta-base,fft_c64,1024,nnz=170,0.89816,0.5135,1700,
