model,method,dim,budget,cosine,jaccard10,bytes_per_token,extra
distilbert,pca,128,0.16666666666666666,0.84074,0.2016,563.5,var_explained=0.5597
distilbert,rand_proj,128,0.16666666666666666,0.38461,0.1874,512,
distilbert,wavelet_db4_sparse,1024,0.16666666666666666,0.88048,0.3781,1026,zero_ratio=0.840
distilbert,topk_raw_sparse,768,0.16666666666666666,0.79992,0.1396,1026,kept=171
distilbert,pca,192,0.25,0.86807,0.2941,819.5,var_explained=0.6798
distilbert,rand_proj,192,0.25,0.51194,0.269,768,
distilbert,wavelet_db4_sparse,1024,0.25,0.92192,0.4591,1536,zero_ratio=0.756
distilbert,topk_raw_sparse,768,0.25,0.88202,0.1653,1536,kept=256
distilbert,pca,256,0.3333333333333333,0.89068,0.3802,1075.5,var_explained=0.7689
distilbert,rand_proj,256,0.3333333333333333,0.58501,0.3467,1024,
distilbert,wavelet_db4_sparse,1024,0.3333333333333333,0.94955,0.5339,2052,zero_ratio=0.672
distilbert,topk_raw_sparse,768,0.3333333333333333,0.93392,0.2031,2052,kept=342
distilbert,pca,384,0.5,0.92753,0.5403,1587.5,var_explained=0.8867
distilbert,rand_proj,384,0.5,0.71051,0.4581,1536,
distilbert,wavelet_db4_sparse,1024,0.5,0.98081,0.6729,3072,zero_ratio=0.504
distilbert,topk_raw_sparse,768,0.5,0.9854,0.3492,3072,kept=512
distilbert,pca,512,0.6666666666666666,0.95698,0.6649,2099.5,var_explained=0.9529
distilbert,rand_proj,512,0.6666666666666666,0.81814,0.5679,2048,
distilbert,wavelet_db4_sparse,1024,0.6666666666666666,0.99468,0.8014,4098,zero_ratio=0.336
distilbert,topk_raw_sparse,768,0.6666666666666666,0.99939,0.758,4098,kept=683
