model,method,budget_bytes,param,cosine,jaccard10,bytes_per_token,extra
gpt2,topk_f32,64,nnz=10,0.33838,0.0542,60,
gpt2,wav_f32,64,nnz=10,0.1735,0.0156,60,
gpt2,topk_i8,64,nnz=21,0.44075,0.0828,63,
gpt2,wav_i8,64,nnz=21,0.33657,0.0456,63,
gpt2,topk_f32,128,nnz=21,0.44075,0.0826,126,
gpt2,wav_f32,128,nnz=21,0.33657,0.0458,126,
gpt2,topk_i8,128,nnz=42,0.55666,0.1416,126,
gpt2,wav_i8,128,nnz=42,0.46953,0.0846,126,
gpt2,topk_f32,256,nnz=42,0.55667,0.1416,252,
gpt2,wav_f32,256,nnz=42,0.46954,0.0846,252,
gpt2,topk_i8,256,nnz=85,0.69131,0.2332,255,
gpt2,wav_i8,256,nnz=85,0.6143,0.1679,255,
gpt2,topk_f32,512,nnz=85,0.69132,0.2332,510,
gpt2,wav_f32,512,nnz=85,0.61431,0.1675,510,
gpt2,topk_i8,512,nnz=170,0.83017,0.374,510,
gpt2,wav_i8,512,nnz=170,0.76372,0.3017,510,
gpt2,topk_f32,1024,nnz=170,0.83018,0.374,1020,
gpt2,wav_f32,1024,nnz=170,0.76372,0.3014,1020,
gpt2,topk_i8,1024,nnz=341,0.94945,0.6179,1023,
gpt2,wav_i8,1024,nnz=341,0.90247,0.5064,1023,
gpt2,pca,64,d=16,0.57446,0.1049,65.0,
gpt2,rand_proj,64,d=16,0.1401,0.0187,65.0,
gpt2,dct_f32,64,nnz=10,0.31929,0.027,60,
gpt2,fft_c64,64,nnz=10,0.34542,0.0305,100,
gpt2,pq,64,m=64,0.80104,0.281,79.6,
gpt2,pca,128,d=32,0.60503,0.1551,130.0,
gpt2,rand_proj,128,d=32,0.20385,0.0402,130.0,
gpt2,dct_f32,128,nnz=21,0.42396,0.0462,126,
gpt2,fft_c64,128,nnz=21,0.4602,0.0539,210,
gpt2,pq,128,m=128,0.91226,0.4981,143.6,
gpt2,pca,256,d=64,0.65074,0.2221,260.0,
gpt2,rand_proj,256,d=64,0.28006,0.0923,259.9,
gpt2,dct_f32,256,nnz=42,0.54311,0.0878,252,
gpt2,fft_c64,256,nnz=42,0.59126,0.1104,420,
gpt2,pq,256,m=256,0.98211,0.7453,271.6,
gpt2,pca,512,d=128,0.71817,0.34,519.9,
gpt2,rand_proj,512,d=128,0.39885,0.175,519.8,
gpt2,dct_f32,512,nnz=85,0.68234,0.1802,510,
gpt2,fft_c64,512,nnz=85,0.74395,0.2361,850,
gpt2,pca,1024,d=256,0.80866,0.4861,1039.7,
gpt2,rand_proj,1024,d=256,0.57481,0.3214,1039.6,
gpt2,dct_f32,1024,nnz=170,0.82584,0.3464,1020,
gpt2,fft_c64,1024,nnz=170,0.89566,0.4779,1700,
