model,method,dim,budget,cosine,jaccard10,bytes_per_token,extra
gpt2,pca,128,0.16666666666666666,0.71817,0.34,543.3,var_explained=0.4974
gpt2,rand_proj,128,0.16666666666666666,0.39885,0.175,512,
gpt2,wavelet_db4_sparse,1024,0.16666666666666666,0.76497,0.3034,1026,zero_ratio=0.840
gpt2,topk_raw_sparse,768,0.16666666666666666,0.83133,0.375,1026,kept=171
gpt2,pca,192,0.25,0.76802,0.4243,799.3,var_explained=0.6297
gpt2,rand_proj,192,0.25,0.50555,0.2685,768,
gpt2,wavelet_db4_sparse,1024,0.25,0.84864,0.4084,1536,zero_ratio=0.756
gpt2,topk_raw_sparse,768,0.25,0.90558,0.503,1536,kept=256
gpt2,pca,256,0.3333333333333333,0.80866,0.4861,1055.3,var_explained=0.7300
gpt2,rand_proj,256,0.3333333333333333,0.57481,0.3214,1024,
gpt2,wavelet_db4_sparse,1024,0.3333333333333333,0.90299,0.5072,2052,zero_ratio=0.672
gpt2,topk_raw_sparse,768,0.3333333333333333,0.94986,0.6201,2052,kept=342
gpt2,pca,384,0.5,0.87424,0.5945,1567.3,var_explained=0.8660
gpt2,rand_proj,384,0.5,0.71484,0.4494,1536,
gpt2,wavelet_db4_sparse,1024,0.5,0.96334,0.6713,3072,zero_ratio=0.504
gpt2,topk_raw_sparse,768,0.5,0.99002,0.8091,3072,kept=512
gpt2,pca,512,0.6666666666666666,0.92751,0.6963,2079.3,var_explained=0.9448
gpt2,rand_proj,512,0.6666666666666666,0.8233,0.5661,2048,
gpt2,wavelet_db4_sparse,1024,0.6666666666666666,0.98983,0.8006,4098,zero_ratio=0.336
gpt2,topk_raw_sparse,768,0.6666666666666666,0.99964,0.9535,4098,kept=683
