model,method,budget_bytes,param,cosine,jaccard10,bytes_per_token,extra
tinyllama,pca,64,d=16,0.20066,0.0935,195.1,
tinyllama,pq,64,m=64,0.44774,0.0419,129.5,
tinyllama,rand_proj,64,d=16,0.08651,0.0102,64,
tinyllama,topk_f32,64,nnz=10,0.22066,0.0225,60,
tinyllama,topk_i8,64,nnz=21,0.29598,0.0301,63,
tinyllama,wav_f32,64,nnz=10,0.12603,0.0087,60,
tinyllama,wav_i8,64,nnz=21,0.25005,0.017,63,
tinyllama,pca,128,d=32,0.23104,0.1169,259.1,
tinyllama,pq,128,m=128,0.62414,0.1054,193.5,
tinyllama,rand_proj,128,d=32,0.12344,0.0132,128,
tinyllama,topk_f32,128,nnz=21,0.29598,0.0301,126,
tinyllama,topk_i8,128,nnz=42,0.38524,0.0409,126,
tinyllama,wav_f32,128,nnz=21,0.25005,0.017,126,
tinyllama,wav_i8,128,nnz=42,0.35869,0.0285,126,
tinyllama,pca,256,d=64,0.27506,0.1437,387.1,
tinyllama,pq,256,m=256,0.80227,0.2639,321.5,
tinyllama,rand_proj,256,d=64,0.17552,0.0249,256,
tinyllama,topk_f32,256,nnz=42,0.38524,0.0409,252,
tinyllama,topk_i8,256,nnz=85,0.49663,0.0685,255,
tinyllama,wav_f32,256,nnz=42,0.35869,0.0285,252,
tinyllama,wav_i8,256,nnz=85,0.48139,0.0503,255,
tinyllama,dct_f32,512,nnz=85,0.49338,0.0444,510,
tinyllama,fft_c64,512,nnz=85,0.5359,0.0548,850,
tinyllama,pca,512,d=128,0.3383,0.1727,545.0,
tinyllama,pq,512,m=512,0.93899,0.5304,577.5,
tinyllama,rand_proj,512,d=128,0.24776,0.0412,544.8,
tinyllama,topk_f32,512,nnz=85,0.49663,0.0686,510,
tinyllama,topk_i8,512,nnz=170,0.62565,0.1236,512,
tinyllama,wav_f32,512,nnz=85,0.48139,0.0502,510,
tinyllama,wav_i8,512,nnz=170,0.61729,0.1039,512,
tinyllama,dct_f32,1024,nnz=170,0.62304,0.0941,1020,
tinyllama,fft_c64,1024,nnz=170,0.67868,0.1324,1700,
tinyllama,pca,1024,d=256,0.42894,0.2119,1089.8,
tinyllama,pq,1024,m=1024,0.99116,0.8189,1089.5,
tinyllama,rand_proj,1024,d=256,0.35196,0.0773,1089.5,
tinyllama,topk_f32,1024,nnz=170,0.62566,0.1235,1020,
tinyllama,topk_i8,1024,nnz=341,0.76758,0.232,1025,
tinyllama,wav_f32,1024,nnz=170,0.6173,0.104,1020,
tinyllama,wav_i8,1024,nnz=341,0.76358,0.2203,1025,
