predictor,ratio,cosine_drop,kl_div,attention_drift
wavelet,0.05,0.0007,nan,1.3159
wavelet,0.10,0.0060,nan,2.5886
wavelet,0.20,0.0237,nan,3.4006
wavelet,0.30,0.0372,nan,5.0979
wavelet,0.50,0.1379,nan,6.6499
wavelet_entropy,0.05,0.0007,nan,1.3159
wavelet_entropy,0.10,0.0087,nan,2.6240
wavelet_entropy,0.20,0.0346,nan,3.3747
wavelet_entropy,0.30,0.0706,nan,3.9423
wavelet_entropy,0.50,0.1736,nan,5.3798
attention_entropy,0.05,0.0007,nan,1.3159
attention_entropy,0.10,0.0087,nan,2.6240
attention_entropy,0.20,0.0346,nan,3.3747
attention_entropy,0.30,0.0706,nan,3.9423
attention_entropy,0.50,0.1736,nan,5.3798
attention_entropy_true,0.05,0.0030,nan,1.8877
attention_entropy_true,0.10,0.0049,nan,3.4616
attention_entropy_true,0.20,0.0201,nan,4.7493
attention_entropy_true,0.30,0.0533,nan,5.5654
attention_entropy_true,0.50,0.1319,nan,6.7187
attention_weight,0.05,0.0051,nan,1.0015
attention_weight,0.10,0.0223,nan,1.6989
attention_weight,0.20,0.1126,nan,2.7064
attention_weight,0.30,0.1502,nan,3.6376
attention_weight,0.50,0.2324,nan,5.0580
magnitude,0.05,0.0051,nan,1.0015
magnitude,0.10,0.0347,nan,1.8365
magnitude,0.20,0.1127,nan,2.7061
magnitude,0.30,0.1693,nan,3.5776
magnitude,0.50,0.2326,nan,5.0009
random,0.05,0.0016,nan,1.1927
random,0.10,0.0307,nan,2.4572
random,0.20,0.0882,nan,3.5812
random,0.30,0.1213,nan,4.3948
random,0.50,0.2146,nan,5.8746
