predictor,ratio,cosine_drop,kl_div,attention_drift
wavelet,0.05,0.0045,nan,1.4645
wavelet,0.10,0.0094,nan,2.2255
wavelet,0.20,0.0283,nan,4.1376
wavelet,0.30,0.0517,nan,5.4555
wavelet,0.50,0.1087,nan,6.6029
wavelet_entropy,0.05,0.0007,nan,1.3159
wavelet_entropy,0.10,0.0060,nan,2.5886
wavelet_entropy,0.20,0.0380,nan,3.3199
wavelet_entropy,0.30,0.0604,nan,4.0017
wavelet_entropy,0.50,0.1421,nan,5.7874
attention_entropy,0.05,0.0007,nan,1.3159
attention_entropy,0.10,0.0060,nan,2.5886
attention_entropy,0.20,0.0380,nan,3.3199
attention_entropy,0.30,0.0604,nan,4.0017
attention_entropy,0.50,0.1421,nan,5.7874
attention_entropy_true,0.05,0.0030,nan,1.8877
attention_entropy_true,0.10,0.0049,nan,3.4616
attention_entropy_true,0.20,0.0201,nan,4.7493
attention_entropy_true,0.30,0.0533,nan,5.5654
attention_entropy_true,0.50,0.1319,nan,6.7187
attention_weight,0.05,0.0051,nan,1.0015
attention_weight,0.10,0.0223,nan,1.6989
attention_weight,0.20,0.1126,nan,2.7064
attention_weight,0.30,0.1502,nan,3.6376
attention_weight,0.50,0.2324,nan,5.0580
magnitude,0.05,0.0051,nan,1.0015
magnitude,0.10,0.0347,nan,1.8365
magnitude,0.20,0.1127,nan,2.7061
magnitude,0.30,0.1693,nan,3.5776
magnitude,0.50,0.2326,nan,5.0009
random,0.05,0.0016,nan,1.1927
random,0.10,0.0307,nan,2.4572
random,0.20,0.0882,nan,3.5812
random,0.30,0.1213,nan,4.3948
random,0.50,0.2146,nan,5.8746
