token,index,energy,entropy,info_score
##anor,27869,9.1614,9.3415,21.6591
##lland,26087,8.5511,9.3314,21.0578
##lika,25421,8.1299,9.2582,20.4751
##gano,29451,7.8129,9.3344,20.3137
##adan,26335,7.9659,9.2572,20.3051
##lho,28061,7.8114,9.3296,20.3017
##oku,21940,7.6785,9.3237,20.1471
##eki,26576,7.6424,9.3333,20.1289
##hani,23573,7.7888,9.2426,20.0885
##alla,25425,7.5192,9.3351,19.9987
##pse,29251,7.4573,9.3623,19.9888
##vb,26493,7.4993,9.3380,19.9832
##oit,28100,7.3903,9.3883,19.9697
##elis,29282,7.5046,9.3242,19.9595
##anto,21634,7.3993,9.3639,19.9279
##khov,25495,7.3512,9.3636,19.8734
##eland,25689,7.4418,9.3085,19.8568
##jad,27875,7.3151,9.3435,19.7902
##lash,27067,7.2885,9.3504,19.7748
##stov,29473,7.4183,9.2641,19.7362
##kshi,27488,7.1996,9.3465,19.6659
##coll,26895,7.1472,9.3736,19.6627
##ieri,21939,7.1781,9.3516,19.6521
##olt,27914,7.1665,9.3436,19.6219
##uet,23361,7.1331,9.3333,19.5621
##rka,22379,7.1749,9.3089,19.5588
##lbert,23373,7.2129,9.2884,19.5586
##jm,24703,7.1467,9.3131,19.5353
##nem,25832,7.1110,9.3090,19.4859
##gart,27378,7.0085,9.3517,19.4563
##bola,24290,6.9402,9.3679,19.4097
amman,25703,7.0495,9.3018,19.3999
##litz,24725,6.9424,9.3517,19.3788
##vitt,28656,7.0438,9.2851,19.3587
##icon,28524,6.8474,9.3604,19.2841
##dim,22172,6.8289,9.3640,19.2695
##mble,19661,6.7952,9.3763,19.2544
##iste,27870,6.7344,9.4042,19.2379
##sul,23722,6.7260,9.3954,19.2098
##kti,22462,6.7533,9.3682,19.1872
##sund,25168,6.6890,9.4012,19.1764
##tura,27431,6.8052,9.3289,19.1690
##jic,25008,6.7475,9.3564,19.1560
##sari,22740,6.6846,9.3827,19.1334
##pani,26569,6.6736,9.3654,19.0848
##kong,25460,6.6834,9.3466,19.0583
##rchy,29389,6.5279,9.4344,19.0445
##mme,20058,6.6911,9.3256,19.0247
##ngo,16656,6.6738,9.3322,19.0174
##lley,25105,6.7014,9.2944,18.9736
##dara,25329,6.6580,9.3101,18.9530
##sell,23836,6.5606,9.3680,18.9510
lucie,28831,6.7151,9.2698,18.9398
##bino,21891,6.5218,9.3727,18.9123
##lston,21540,6.5618,9.3443,18.9044
##hre,28362,6.5483,9.3407,18.8806
820,26667,6.9912,9.0831,18.8777
##you,29337,6.5206,9.3541,18.8731
##lma,19145,6.5062,9.3617,18.8706
##hiff,25798,6.5462,9.3357,18.8678
##kker,23793,6.6365,9.2787,18.8631
##anal,27953,6.3730,9.4373,18.8542
##pta,22799,6.5389,9.3322,18.8517
##brick,25646,6.4387,9.3925,18.8478
##ulio,24825,6.3906,9.4120,18.8259
##erry,19826,6.3787,9.4160,18.8188
florian,29517,6.6842,9.2255,18.8123
