token,index,energy,entropy,info_score
enegger,44028,49.5116,9.5806,37.5772
terday,6432,45.7610,9.6048,36.9311
Ħ¢,8008,38.7831,9.6099,35.3975
"]=>,23785,37.1420,9.5750,34.8657
arthed,36370,36.9512,9.5861,34.8579
ollah,17999,35.8386,9.6007,34.6254
atform,3390,35.6648,9.6115,34.6190
ibur,38616,35.7764,9.5963,34.5934
anooga,42165,35.9362,9.5790,34.5726
agher,30450,35.7333,9.5864,34.5464
agos,48215,35.7254,9.5769,34.5100
krit,44531,35.3546,9.5999,34.4956
ibrary,4115,35.8335,9.5601,34.4776
aeda,11641,35.4766,9.5744,34.4361
stocks,29522,34.5898,9.6023,34.3000
edin,27152,34.2021,9.5914,34.1561
quartered,42508,33.8524,9.6157,34.1464
Ġrul,2155,33.6643,9.6258,34.1304
perty,9287,34.2383,9.5767,34.1134
cham,49869,33.9837,9.5897,34.0901
reau,43611,33.7148,9.5996,34.0513
hiba,49224,33.5909,9.5870,33.9724
Ġproble,1369,33.4408,9.5944,33.9571
zeb,38130,33.2840,9.6043,33.9482
ties,4278,33.1211,9.6149,33.9399
Thumbnail,35523,33.5741,9.5740,33.9216
ĺħ,11805,33.3370,9.5871,33.9023
Ġtoile,13392,33.5090,9.5618,33.8605
chuk,46019,33.3169,9.5732,33.8472
itiveness,31366,32.8856,9.5906,33.7876
aspers,49412,32.9876,9.5795,33.7774
itud,26331,32.4782,9.6186,33.7698
gencies,33333,32.8589,9.5822,33.7504
bard,23024,32.6278,9.6000,33.7475
otin,41403,32.8568,9.5774,33.7329
adr,41909,32.6150,9.5886,33.7038
teness,43205,32.0805,9.5916,33.5606
elist,46331,32.0180,9.5898,33.5362
flies,27959,32.1349,9.5786,33.5306
ships,26313,31.9359,9.5942,33.5276
shire,10932,32.0040,9.5869,33.5217
arios,13010,31.9847,9.5811,33.4959
atari,35554,31.7821,9.5839,33.4467
adish,48563,31.2766,9.6135,33.4006
Ġfundament,14387,31.5095,9.5892,33.3849
icago,4549,31.4646,9.5884,33.3690
Dispatch,49354,31.4821,9.5766,33.3331
bender,45666,31.0334,9.6029,33.2913
zin,42140,31.4542,9.5657,33.2868
romy,50228,31.0363,9.6002,33.2825
vae,33353,31.2620,9.5808,33.2825
adesh,13410,31.1715,9.5825,33.2617
ueller,16466,31.2185,9.5783,33.2611
foundland,42030,31.5173,9.5528,33.2607
yrus,21180,31.1774,9.5615,33.1906
Ġsubp,22718,30.8548,9.5867,33.1814
gradient,49607,30.9659,9.5765,33.1795
folios,45242,31.1386,9.5615,33.1789
@#&,48193,30.7861,9.5903,33.1732
lag,30909,30.6275,9.6012,33.1629
enger,6540,30.9223,9.5747,33.1602
inka,48955,30.8263,9.5820,33.1564
dain,27162,30.6388,9.5973,33.1528
cest,9165,30.4954,9.6019,33.1249
Ġtarg,2103,30.3269,9.6114,33.1063
jee,34589,30.6372,9.5829,33.1026
Ġrecip,7450,30.3489,9.6064,33.0959
reb,34806,30.4884,9.5930,33.0922
ĠTuls,33219,30.9942,9.5465,33.0838
Quantity,31208,30.2286,9.6021,33.0440
pak,41091,30.3650,9.5898,33.0434
anie,34166,30.6908,9.5600,33.0395
erville,33487,30.5251,9.5735,33.0362
vic,25531,30.2934,9.5862,33.0090
alys,26266,30.1603,9.5967,33.0045
asin,47337,29.8816,9.6092,32.9611
hao,23778,29.9282,9.6004,32.9453
clud,758,30.1114,9.5771,32.9221
isson,30927,30.1211,9.5747,32.9166
=-=-,16822,29.8723,9.5957,32.9120
ILY,33340,29.8663,9.5921,32.8977
dyl,30360,30.0668,9.5705,32.8857
opa,26186,29.6965,9.6004,32.8733
imental,9134,29.6992,9.5980,32.8658
JV,41697,29.8359,9.5851,32.8643
endment,5904,30.0044,9.5685,32.8595
leground,28272,29.8993,9.5748,32.8486
rio,27250,29.8774,9.5741,32.8392
adan,29157,29.5344,9.6023,32.8290
ional,1538,29.6402,9.5903,32.8211
metry,41935,29.5724,9.5923,32.8067
ĠDPR,41176,29.5864,9.5910,32.8065
inea,18343,29.7865,9.5722,32.8047
ourke,49003,29.7086,9.5763,32.7945
laughter,27815,29.7078,9.5757,32.7921
ldom,23826,29.6577,9.5764,32.7788
ĠHeist,50157,29.3523,9.5934,32.7412
ocaust,16377,29.6281,9.5671,32.7380
isers,21572,29.4344,9.5844,32.7362
uterte,23314,29.4360,9.5796,32.7203
Ġiod,41080,28.9933,9.6206,32.7194
Ġsubsequ,6399,29.5247,9.5677,32.7074
Ġappre,5208,29.6103,9.5549,32.6906
istas,37503,29.1625,9.5941,32.6832
ropy,28338,29.0064,9.6002,32.6543
llo,18798,29.3542,9.5668,32.6508
Override,37961,29.0691,9.5899,32.6392
È,132,29.0267,9.5936,32.6382
translation,41519,29.1284,9.5812,32.6283
asonic,30189,29.1069,9.5791,32.6146
DAY,26442,28.6316,9.6233,32.6119
legram,30536,28.6965,9.6056,32.5728
«ĺ,45865,28.9705,9.5791,32.5711
atoon,23122,28.8725,9.5882,32.5705
lust,38878,28.7693,9.5942,32.5578
chool,1251,28.9924,9.5728,32.5567
ç¥ŀ,15351,28.9299,9.5785,32.5559
oak,15877,28.8213,9.5811,32.5298
anyl,34816,28.6862,9.5906,32.5188
acements,28613,28.6445,9.5922,32.5106
[_,29795,28.4621,9.6070,32.5015
Ġeconom,1707,28.6375,9.5884,32.4956
vag,29821,28.4466,9.6027,32.4818
enfranch,39827,28.7156,9.5768,32.4814
crop,31476,28.8330,9.5604,32.4634
elong,21537,28.5702,9.5838,32.4581
comed,15128,28.4893,9.5896,32.4516
ĠESV,33910,28.4446,9.5925,32.4466
%);,49563,28.7138,9.5642,32.4381
artz,13636,28.3829,9.5932,32.4289
ĠMFT,43910,28.1296,9.6175,32.4278
alid,10751,28.5581,9.5750,32.4243
Demand,42782,28.3381,9.5959,32.4234
ĠCipher,44334,28.4145,9.5873,32.4194
ctica,28914,28.8813,9.5423,32.4174
bread,29573,28.3991,9.5863,32.4108
ĠGEAR,43790,28.2860,9.5962,32.4073
ĠProced,23652,28.4088,9.5843,32.4072
properties,48310,28.6012,9.5648,32.4038
iliary,28129,28.4354,9.5799,32.4012
iesta,36283,28.5665,9.5618,32.3824
ornings,28863,28.2103,9.5954,32.3797
omorph,25831,28.2240,9.5934,32.3776
Tea,49770,28.1886,9.5955,32.3731
ilities,2410,28.0342,9.6093,32.3687
ĠAnge,49759,27.8536,9.6222,32.3522
ĠWinc,35898,28.0962,9.5983,32.3522
egg,33856,27.8336,9.6214,32.3427
IRE,41736,28.1868,9.5809,32.3233
UTH,24318,28.1124,9.5876,32.3213
ATURE,40086,28.3435,9.5650,32.3209
Cub,43632,27.9133,9.6059,32.3171
agnetic,25145,28.2534,9.5710,32.3118
die,11979,28.1673,9.5784,32.3083
OAD,41048,28.1262,9.5821,32.3073
ĠCrate,37504,27.9226,9.6006,32.3022
casts,40924,28.4294,9.5494,32.2960
arte,32074,28.0297,9.5853,32.2864
Ġdissatisf,27570,28.0075,9.5862,32.2819
mate,9830,27.8414,9.6018,32.2795
PF,42668,28.1988,9.5631,32.2672
iberal,16813,27.6907,9.6112,32.2607
dress,49380,27.9122,9.5867,32.2522
INAL,17961,27.8644,9.5913,32.2519
trump,40954,27.7641,9.6013,32.2518
""",37811,28.1617,9.5613,32.2489
Course,49046,27.6866,9.6036,32.2337
Ġmarqu,44054,27.7963,9.5926,32.2334
ilde,44725,27.9542,9.5764,32.2314
orer,11934,27.8990,9.5775,32.2169
iency,6160,27.6026,9.6066,32.2158
WT,39386,27.8092,9.5857,32.2147
